FECHA (YYMMDD);HORA (HHMM);;
160801;0100;;
160801;0200;;
160801;0300;;
160801;0400;;
160801;0500;;
160801;0600;;
160801;0700;;
160801;0800;;
160801;0900;;
160801;1000;;
160801;1100;;
160801;1200;;
160801;1300;;
160801;1400;;
160801;1500;;
160801;1600;;
160801;1700;;
160801;1800;;
160801;1900;;
160801;2000;;
160801;2100;;
160801;2200;;
160801;2300;;
160802;0000;;
160802;0100;;
160802;0200;;
160802;0300;;
160802;0400;;
160802;0500;;
160802;0600;;
160802;0700;;
160802;0800;;
160802;0900;;
160802;1000;;
160802;1100;;
160802;1200;;
160802;1300;;
160802;1400;;
160802;1500;;
160802;1600;;
160802;1700;;
160802;1800;252,7;
160802;1900;248,6;
160802;2000;206,2;
160802;2100;86,9;
160802;2200;40,3;
160802;2300;36,6;
160803;0000;33,6;
160803;0100;37,2;
160803;0200;40,1;
160803;0300;26,2;
160803;0400;137,6;
160803;0500;168,5;
160803;0600;189,3;
160803;0700;110,7;
160803;0800;94,6;
160803;0900;140,8;
160803;1000;152,4;
160803;1100;187,4;
160803;1200;180,5;
160803;1300;231,6;
160803;1400;247,6;
160803;1500;226,5;
160803;1600;237,8;
160803;1700;203,1;
160803;1800;340,5;
160803;1900;109,6;
160803;2000;156,6;
160803;2100;109,8;
160803;2200;217;
160803;2300;158,7;
160804;0000;137,6;
160804;0100;2,1;
160804;0200;161,9;
160804;0300;161,9;
160804;0400;172,7;
160804;0500;150;
160804;0600;178,3;
160804;0700;136,8;
160804;0800;85,7;
160804;0900;54,8;
160804;1000;260,9;
160804;1100;222;
160804;1200;208,3;
160804;1300;214,8;
160804;1400;215,3;
160804;1500;218;
160804;1600;212;
160804;1700;213,2;
160804;1800;190,9;
160804;1900;200,1;
160804;2000;168,3;
160804;2100;169,7;
160804;2200;326,2;
160804;2300;237,4;
160805;0000;94,7;
160805;0100;157,1;
160805;0200;169,1;
160805;0300;19,1;
160805;0400;232,9;
160805;0500;119,3;
160805;0600;172,6;
160805;0700;180,5;
160805;0800;175,8;
160805;0900;134,7;
160805;1000;79,1;
160805;1100;231,8;
160805;1200;219,3;
160805;1300;212,6;
160805;1400;211,1;
160805;1500;215,7;
160805;1600;214,2;
160805;1700;211,1;
160805;1800;211,8;
160805;1900;215,2;
160805;2000;209;
160805;2100;207,8;
160805;2200;202,8;
160805;2300;169,2;
160806;0000;175;
160806;0100;168,6;
160806;0200;170,9;
160806;0300;199,4;
160806;0400;146,9;
160806;0500;240,9;
160806;0600;182,1;
160806;0700;125,8;
160806;0800;244;
160806;0900;80,8;
160806;1000;116,4;
160806;1100;233;
160806;1200;214,6;
160806;1300;224;
160806;1400;223,6;
160806;1500;212,3;
160806;1600;210,5;
160806;1700;212,7;
160806;1800;213,7;
160806;1900;209,7;
160806;2000;212,1;
160806;2100;186,5;
160806;2200;188,4;
160806;2300;186,6;
160807;0000;175,5;
160807;0100;123,4;
160807;0200;161,8;
160807;0300;162,9;
160807;0400;155,4;
160807;0500;170,9;
160807;0600;167,3;
160807;0700;205,5;
160807;0800;209,3;
160807;0900;142,3;
160807;1000;131,8;
160807;1100;70,8;
160807;1200;209,1;
160807;1300;233,1;
160807;1400;214,9;
160807;1500;221,8;
160807;1600;214,5;
160807;1700;215,6;
160807;1800;218,8;
160807;1900;212;
160807;2000;198,6;
160807;2100;183,3;
160807;2200;184,9;
160807;2300;146;
160808;0000;103,2;
160808;0100;174,5;
160808;0200;188,6;
160808;0300;169,5;
160808;0400;173,5;
160808;0500;134,9;
160808;0600;114,6;
160808;0700;146,5;
160808;0800;166,7;
160808;0900;61,4;
160808;1000;95,6;
160808;1100;220,7;
160808;1200;206,5;
160808;1300;198,1;
160808;1400;214,5;
160808;1500;211,8;
160808;1600;212;
160808;1700;199,9;
160808;1800;209,9;
160808;1900;207,3;
160808;2000;152;
160808;2100;158,7;
160808;2200;135,2;
160808;2300;156,8;
160809;0000;48,1;
160809;0100;343,6;
160809;0200;162,9;
160809;0300;132,1;
160809;0400;137,9;
160809;0500;126,6;
160809;0600;150,7;
160809;0700;126,7;
160809;0800;146,1;
160809;0900;89,5;
160809;1000;80,8;
160809;1100;285,6;
160809;1200;344,4;
160809;1300;300;
160809;1400;105,1;
160809;1500;335;
160809;1600;323,6;
160809;1700;56,1;
160809;1800;55,8;
160809;1900;57,2;
160809;2000;97,6;
160809;2100;107;
160809;2200;125,1;
160809;2300;91,3;
160810;0000;68,6;
160810;0100;160;
160810;0200;100,1;
160810;0300;52,3;
160810;0400;29,5;
160810;0500;293,1;
160810;0600;48,4;
160810;0700;82,2;
160810;0800;55,6;
160810;0900;43;
160810;1000;;
160810;1100;;
160810;1200;166,2;
160810;1300;64,7;
160810;1400;55,8;
160810;1500;308,8;
160810;1600;8,10001;
160810;1700;47,4;
160810;1800;48,1;
160810;1900;304,5;
160810;2000;160,6;
160810;2100;207,3;
160810;2200;189,8;
160810;2300;171,3;
160811;0000;182,7;
160811;0100;189,4;
160811;0200;184,8;
160811;0300;193,6;
160811;0400;173,4;
160811;0500;181,1;
160811;0600;212,4;
160811;0700;212,4;
160811;0800;191,6;
160811;0900;196;
160811;1000;208,1;
160811;1100;231,8;
160811;1200;246,8;
160811;1300;261,6;
160811;1400;218,1;
160811;1500;222,6;
160811;1600;209,9;
160811;1700;217,3;
160811;1800;185,2;
160811;1900;311,1;
160811;2000;132,7;
160811;2100;66,6;
160811;2200;88,7;
160811;2300;154;
160812;0000;211,8;
160812;0100;92,1;
160812;0200;52,7;
160812;0300;287,7;
160812;0400;55,4;
160812;0500;85;
160812;0600;81;
160812;0700;56,9;
160812;0800;76,7;
160812;0900;120;
160812;1000;91,9;
160812;1100;206;
160812;1200;252,4;
160812;1300;252,3;
160812;1400;222,9;
160812;1500;218,1;
160812;1600;143,8;
160812;1700;69,2;
160812;1800;348,3;
160812;1900;350,1;
160812;2000;43,9;
160812;2100;62,7;
160812;2200;153,1;
160812;2300;183,5;
160813;0000;238,6;
160813;0100;165,6;
160813;0200;139,8;
160813;0300;260,2;
160813;0400;114,4;
160813;0500;198,9;
160813;0600;172,4;
160813;0700;102,2;
160813;0800;173,2;
160813;0900;67,9;
160813;1000;18;
160813;1100;204,3;
160813;1200;198,2;
160813;1300;222;
160813;1400;217,1;
160813;1500;226,8;
160813;1600;193,8;
160813;1700;196,9;
160813;1800;225,6;
160813;1900;166,5;
160813;2000;271,8;
160813;2100;149,7;
160813;2200;45,9;
160813;2300;254,2;
160814;0000;187,6;
160814;0100;267,9;
160814;0200;81,1;
160814;0300;83,1;
160814;0400;263,9;
160814;0500;163,6;
160814;0600;112,8;
160814;0700;297;
160814;0800;36,1;
160814;0900;51;
160814;1000;221;
160814;1100;163,5;
160814;1200;169;
160814;1300;220,3;
160814;1400;202,8;
160814;1500;190,4;
160814;1600;245,9;
160814;1700;282,4;
160814;1800;136,9;
160814;1900;148;
160814;2000;125,3;
160814;2100;128,2;
160814;2200;149,3;
160814;2300;184,6;
160815;0000;171,8;
160815;0100;170,5;
160815;0200;118,6;
160815;0300;275,3;
160815;0400;188;
160815;0500;178,2;
160815;0600;218,7;
160815;0700;175,9;
160815;0800;144,4;
160815;0900;142,7;
160815;1000;177,5;
160815;1100;190,4;
160815;1200;218,2;
160815;1300;212,1;
160815;1400;210,6;
160815;1500;188,8;
160815;1600;186,1;
160815;1700;182,5;
160815;1800;160,1;
160815;1900;180,5;
160815;2000;218;
160815;2100;175,6;
160815;2200;17,9;
160815;2300;113,7;
160816;0000;78,1;
160816;0100;335,3;
160816;0200;90,9;
160816;0300;91,4;
160816;0400;79,7;
160816;0500;91,2;
160816;0600;122,1;
160816;0700;89,4;
160816;0800;0,7;
160816;0900;255,1;
160816;1000;292,4;
160816;1100;50,6;
160816;1200;248,4;
160816;1300;239,2;
160816;1400;226;
160816;1500;226,6;
160816;1600;223,9;
160816;1700;221;
160816;1800;216,8;
160816;1900;188,2;
160816;2000;189,4;
160816;2100;137,6;
160816;2200;193;
160816;2300;185,6;
160817;0000;191,5;
160817;0100;167,9;
160817;0200;174,2;
160817;0300;151,6;
160817;0400;184,7;
160817;0500;186,7;
160817;0600;194,1;
160817;0700;200,3;
160817;0800;170,5;
160817;0900;189;
160817;1000;179,2;
160817;1100;222,3;
160817;1200;222,8;
160817;1300;222,4;
160817;1400;222,8;
160817;1500;220,5;
160817;1600;218,7;
160817;1700;220,5;
160817;1800;218,6;
160817;1900;211,2;
160817;2000;188,1;
160817;2100;191,3;
160817;2200;183,9;
160817;2300;195,5;
160818;0000;191,7;
160818;0100;187,3;
160818;0200;183,4;
160818;0300;184,9;
160818;0400;180,4;
160818;0500;184,3;
160818;0600;188,3;
160818;0700;186,7;
160818;0800;178,3;
160818;0900;176,8;
160818;1000;177,6;
160818;1100;212,8;
160818;1200;220,4;
160818;1300;224,2;
160818;1400;222,4;
160818;1500;219,4;
160818;1600;218,3;
160818;1700;215,7;
160818;1800;212,3;
160818;1900;207,4;
160818;2000;204,5;
160818;2100;206,1;
160818;2200;193,5;
160818;2300;208,8;
160819;0000;200,3;
160819;0100;215,9;
160819;0200;146,5;
160819;0300;182,5;
160819;0400;183,7;
160819;0500;166,2;
160819;0600;160,1;
160819;0700;175,5;
160819;0800;138;
160819;0900;96,8;
160819;1000;135,7;
160819;1100;241,8;
160819;1200;251,1;
160819;1300;227,4;
160819;1400;229,5;
160819;1500;233,2;
160819;1600;229,1;
160819;1700;232,1;
160819;1800;228,5;
160819;1900;219,2;
160819;2000;158,3;
160819;2100;181,6;
160819;2200;182,9;
160819;2300;181,1;
160820;0000;188,3;
160820;0100;184,1;
160820;0200;175,6;
160820;0300;146,9;
160820;0400;187,9;
160820;0500;191,8;
160820;0600;193;
160820;0700;187,9;
160820;0800;177,4;
160820;0900;193,1;
160820;1000;212,8;
160820;1100;228,7;
160820;1200;228,4;
160820;1300;229,9;
160820;1400;222,6;
160820;1500;221,9;
160820;1600;219,4;
160820;1700;221,1;
160820;1800;213,1;
160820;1900;205,8;
160820;2000;206,9;
160820;2100;199,1;
160820;2200;195,5;
160820;2300;192,2;
160821;0000;184,2;
160821;0100;139,5;
160821;0200;174,3;
160821;0300;183,3;
160821;0400;168,9;
160821;0500;205,3;
160821;0600;168,5;
160821;0700;209,1;
160821;0800;136,7;
160821;0900;107,1;
160821;1000;263,7;
160821;1100;202,8;
160821;1200;213,2;
160821;1300;216,8;
160821;1400;199,2;
160821;1500;203,4;
160821;1600;211,7;
160821;1700;199,5;
160821;1800;205,2;
160821;1900;176,5;
160821;2000;158,9;
160821;2100;135;
160821;2200;41,6;
160821;2300;116,1;
160822;0000;169,9;
160822;0100;184,2;
160822;0200;179,2;
160822;0300;135,6;
160822;0400;164,3;
160822;0500;18,9;
160822;0600;66,7;
160822;0700;69,7;
160822;0800;70,3;
160822;0900;56;
160822;1000;75,6;
160822;1100;163,6;
160822;1200;224,9;
160822;1300;173,9;
160822;1400;277;
160822;1500;281;
160822;1600;192,4;
160822;1700;158,1;
160822;1800;60,6;
160822;1900;87,5;
160822;2000;116,3;
160822;2100;142,6;
160822;2200;105,3;
160822;2300;78,6;
160823;0000;104,4;
160823;0100;191,2;
160823;0200;252,9;
160823;0300;262,6;
160823;0400;281,6;
160823;0500;260,9;
160823;0600;300,7;
160823;0700;308;
160823;0800;315,6;
160823;0900;313,5;
160823;1000;325,2;
160823;1100;18,8;
160823;1200;302,4;
160823;1300;305,5;
160823;1400;9,7;
160823;1500;56,2;
160823;1600;47,7;
160823;1700;225,7;
160823;1800;249;
160823;1900;287,7;
160823;2000;113,1;
160823;2100;298,9;
160823;2200;301,7;
160823;2300;291,7;
160824;0000;327,4;
160824;0100;41,9;
160824;0200;75,3;
160824;0300;125,6;
160824;0400;137,5;
160824;0500;99,3;
160824;0600;58,5;
160824;0700;34,6;
160824;0800;33,8;
160824;0900;36,8;
160824;1000;40,2;
160824;1100;35,1;
160824;1200;48,1;
160824;1300;80,7;
160824;1400;36,4;
160824;1500;36;
160824;1600;36,1;
160824;1700;50,4;
160824;1800;36,4;
160824;1900;37,4;
160824;2000;48;
160824;2100;9;
160824;2200;128,4;
160824;2300;60,3;
160825;0000;149,2;
160825;0100;130,8;
160825;0200;147,1;
160825;0300;164;
160825;0400;184,3;
160825;0500;171;
160825;0600;104,5;
160825;0700;156,2;
160825;0800;134,8;
160825;0900;49,5;
160825;1000;306,7;
160825;1100;275,6;
160825;1200;282,5;
160825;1300;265,8;
160825;1400;252,4;
160825;1500;238,8;
160825;1600;238,7;
160825;1700;242;
160825;1800;228,8;
160825;1900;158;
160825;2000;197,8;
160825;2100;200,2;
160825;2200;199,9;
160825;2300;185,4;
160826;0000;179,7;
160826;0100;206,6;
160826;0200;187;
160826;0300;167,1;
160826;0400;176,7;
160826;0500;181,2;
160826;0600;196,5;
160826;0700;185,6;
160826;0800;180,4;
160826;0900;191;
160826;1000;218;
160826;1100;226,8;
160826;1200;258,8;
160826;1300;212,9;
160826;1400;211,9;
160826;1500;211,5;
160826;1600;211,9;
160826;1700;219,9;
160826;1800;208,9;
160826;1900;181,6;
160826;2000;157,3;
160826;2100;220,6;
160826;2200;215,3;
