FECHA (YYMMDD);HORA (HHMM);;
020201;0100;;
020201;0200;;
020201;0300;;
020201;0400;;
020201;0500;;
020201;0600;;
020201;0700;;
020201;0800;;
020201;0900;;
020201;1000;;
020201;1100;;
020201;1200;301;
020201;1300;284;
020201;1400;285;
020201;1500;290;
020201;1600;280;
020201;1700;277;
020201;1800;285;
020201;1900;313;
020201;2000;336;
020201;2100;353;
020201;2200;350;
020201;2300;344;
020202;0000;347;
020202;0100;351;
020202;0200;340;
020202;0300;339;
020202;0400;325;
020202;0500;326;
020202;0600;312;
020202;0700;300;
020202;0800;288;
020202;0900;304;
020202;1000;291;
020202;1100;298;
020202;1200;284;
020202;1300;281;
020202;1400;282;
020202;1500;290;
020202;1600;272;
020202;1700;279;
020202;1800;289;
020202;1900;292;
020202;2000;301;
020202;2100;308;
020202;2200;320;
020202;2300;318;
020203;0000;346;
020203;0100;354;
020203;0200;246;
020203;0300;225;
020203;0400;157;
020203;0500;273;
020203;0600;167;
020203;0700;9;
020203;0800;326;
020203;0900;355;
020203;1000;331;
020203;1100;284;
020203;1200;293;
020203;1300;272;
020203;1400;279;
020203;1500;296;
020203;1600;278;
020203;1700;272;
020203;1800;262;
020203;1900;281;
020203;2000;305;
020203;2100;8;
020203;2200;5;
020203;2300;318;
020204;0000;271;
020204;0100;304;
020204;0200;29;
020204;0300;55;
020204;0400;112;
020204;0500;304;
020204;0600;179;
020204;0700;52;
020204;0800;15;
020204;0900;349;
020204;1000;358;
020204;1100;322;
020204;1200;309;
020204;1300;301;
020204;1400;301;
020204;1500;279;
020204;1600;295;
020204;1700;288;
020204;1800;297;
020204;1900;281;
020204;2000;263;
020204;2100;263;
020204;2200;260;
020204;2300;301;
020205;0000;325;
020205;0100;326;
020205;0200;341;
020205;0300;341;
020205;0400;307;
020205;0500;317;
020205;0600;339;
020205;0700;349;
020205;0800;8;
020205;0900;352;
020205;1000;351;
020205;1100;348;
020205;1200;344;
020205;1300;335;
020205;1400;314;
020205;1500;320;
020205;1600;298;
020205;1700;288;
020205;1800;283;
020205;1900;294;
020205;2000;291;
020205;2100;292;
020205;2200;281;
020205;2300;256;
020206;0000;237;
020206;0100;233;
020206;0200;105;
020206;0300;123;
020206;0400;124;
020206;0500;113;
020206;0600;126;
020206;0700;107;
020206;0800;118;
020206;0900;116;
020206;1000;33;
020206;1100;293;
020206;1200;290;
020206;1300;269;
020206;1400;272;
020206;1500;286;
020206;1600;277;
020206;1700;285;
020206;1800;285;
020206;1900;284;
020206;2000;273;
020206;2100;288;
020206;2200;324;
020206;2300;14;
020207;0000;10;
020207;0100;188;
020207;0200;85;
020207;0300;128;
020207;0400;136;
020207;0500;135;
020207;0600;118;
020207;0700;139;
020207;0800;126;
020207;0900;114;
020207;1000;74;
020207;1100;292;
020207;1200;279;
020207;1300;263;
020207;1400;262;
020207;1500;265;
020207;1600;258;
020207;1700;247;
020207;1800;243;
020207;1900;257;
020207;2000;252;
020207;2100;288;
020207;2200;346;
020207;2300;350;
020208;0000;355;
020208;0100;13;
020208;0200;8;
020208;0300;331;
020208;0400;357;
020208;0500;16;
020208;0600;95;
020208;0700;110;
020208;0800;123;
020208;0900;99;
020208;1000;91;
020208;1100;104;
020208;1200;292;
020208;1300;276;
020208;1400;274;
020208;1500;267;
020208;1600;259;
020208;1700;260;
020208;1800;253;
020208;1900;242;
020208;2000;237;
020208;2100;232;
020208;2200;63;
020208;2300;148;
020209;0000;168;
020209;0100;186;
020209;0200;201;
020209;0300;177;
020209;0400;91;
020209;0500;108;
020209;0600;88;
020209;0700;354;
020209;0800;13;
020209;0900;21;
020209;1000;1;
020209;1100;339;
020209;1200;291;
020209;1300;282;
