FECHA (YYMMDD);HORA (HHMM);;
051001;0100;78;
051001;0200;85;
051001;0300;91;
051001;0400;92;
051001;0500;93;
051001;0600;99;
051001;0700;99;
051001;0800;99;
051001;0900;98;
051001;1000;75;
051001;1100;71;
051001;1200;67;
051001;1300;71;
051001;1400;67;
051001;1500;66;
051001;1600;62;
051001;1700;57;
051001;1800;64;
051001;1900;67;
051001;2000;70;
051001;2100;71;
051001;2200;73;
051001;2300;70;
051002;0000;71;
051002;0100;83;
051002;0200;99;
051002;0300;99;
051002;0400;99;
051002;0500;97;
051002;0600;93;
051002;0700;83;
051002;0800;75;
051002;0900;65;
051002;1000;63;
051002;1100;51;
051002;1200;48;
051002;1300;50;
051002;1400;73;
051002;1500;93;
051002;1600;99;
051002;1700;99;
051002;1800;99;
051002;1900;99;
051002;2000;99;
051002;2100;91;
051002;2200;87;
051002;2300;93;
051003;0000;94;
051003;0100;96;
051003;0200;99;
051003;0300;99;
051003;0400;99;
051003;0500;99;
051003;0600;99;
051003;0700;98;
051003;0800;97;
051003;0900;80;
051003;1000;57;
051003;1100;45;
051003;1200;51;
051003;1300;52;
051003;1400;49;
051003;1500;50;
051003;1600;40;
051003;1700;48;
051003;1800;54;
051003;1900;66;
051003;2000;92;
051003;2100;99;
051003;2200;99;
051003;2300;99;
051004;0000;99;
051004;0100;98;
051004;0200;95;
051004;0300;88;
051004;0400;97;
051004;0500;98;
051004;0600;99;
051004;0700;99;
051004;0800;87;
051004;0900;69;
051004;1000;53;
051004;1100;40;
051004;1200;36;
051004;1300;42;
051004;1400;44;
051004;1500;48;
051004;1600;48;
051004;1700;43;
051004;1800;45;
051004;1900;46;
051004;2000;50;
051004;2100;52;
051004;2200;59;
051004;2300;64;
051005;0000;68;
051005;0100;70;
051005;0200;78;
051005;0300;87;
051005;0400;97;
051005;0500;99;
051005;0600;99;
051005;0700;99;
051005;0800;99;
051005;0900;81;
051005;1000;69;
051005;1100;70;
051005;1200;67;
051005;1300;69;
051005;1400;62;
051005;1500;58;
051005;1600;62;
051005;1700;52;
051005;1800;50;
051005;1900;53;
051005;2000;79;
051005;2100;89;
051005;2200;96;
051005;2300;99;
051006;0000;93;
051006;0100;90;
051006;0200;86;
051006;0300;85;
051006;0400;80;
051006;0500;79;
051006;0600;87;
051006;0700;87;
051006;0800;84;
051006;0900;74;
051006;1000;68;
051006;1100;57;
051006;1200;51;
051006;1300;40;
051006;1400;31;
051006;1500;31;
051006;1600;35;
051006;1700;46;
051006;1800;51;
051006;1900;56;
051006;2000;64;
051006;2100;69;
051006;2200;72;
051006;2300;77;
051007;0000;77;
051007;0100;84;
051007;0200;77;
051007;0300;78;
051007;0400;83;
051007;0500;87;
051007;0600;85;
051007;0700;81;
051007;0800;78;
051007;0900;65;
051007;1000;60;
051007;1100;54;
051007;1200;47;
051007;1300;43;
051007;1400;43;
051007;1500;42;
051007;1600;43;
051007;1700;43;
051007;1800;40;
051007;1900;49;
051007;2000;58;
051007;2100;66;
051007;2200;72;
051007;2300;75;
051008;0000;82;
051008;0100;88;
051008;0200;93;
051008;0300;97;
051008;0400;99;
051008;0500;99;
051008;0600;99;
051008;0700;99;
051008;0800;99;
051008;0900;89;
051008;1000;63;
051008;1100;65;
051008;1200;54;
051008;1300;44;
051008;1400;36;
051008;1500;34;
051008;1600;30;
051008;1700;32;
051008;1800;33;
051008;1900;44;
051008;2000;69;
051008;2100;80;
051008;2200;82;
051008;2300;85;
051009;0000;92;
051009;0100;97;
051009;0200;99;
051009;0300;99;
051009;0400;99;
051009;0500;99;
051009;0600;99;
051009;0700;99;
051009;0800;99;
051009;0900;99;
051009;1000;93;
051009;1100;86;
051009;1200;94;
051009;1300;98;
051009;1400;99;
051009;1500;99;
051009;1600;99;
051009;1700;99;
051009;1800;99;
051009;1900;98;
051009;2000;95;
051009;2100;95;
051009;2200;94;
051009;2300;98;
051010;0000;99;
051010;0100;99;
051010;0200;99;
051010;0300;99;
051010;0400;99;
051010;0500;99;
051010;0600;99;
051010;0700;99;
051010;0800;99;
051010;0900;98;
051010;1000;90;
051010;1100;86;
051010;1200;84;
051010;1300;83;
051010;1400;81;
051010;1500;81;
051010;1600;81;
051010;1700;87;
051010;1800;94;
051010;1900;99;
051010;2000;99;
051010;2100;99;
051010;2200;99;
051010;2300;99;
051011;0000;99;
051011;0100;99;
051011;0200;99;
051011;0300;99;
051011;0400;99;
051011;0500;91;
051011;0600;85;
051011;0700;81;
051011;0800;79;
051011;0900;71;
051011;1000;64;
051011;1100;53;
051011;1200;52;
051011;1300;53;
051011;1400;51;
051011;1500;50;
051011;1600;43;
051011;1700;40;
051011;1800;43;
051011;1900;48;
051011;2000;58;
051011;2100;74;
051011;2200;74;
051011;2300;70;
051012;0000;69;
051012;0100;77;
051012;0200;87;
051012;0300;97;
051012;0400;99;
051012;0500;99;
051012;0600;99;
051012;0700;99;
051012;0800;91;
051012;0900;68;
051012;1000;55;
051012;1100;57;
051012;1200;48;
051012;1300;44;
051012;1400;40;
051012;1500;38;
051012;1600;34;
051012;1700;31;
051012;1800;33;
051012;1900;41;
051012;2000;49;
051012;2100;60;
051012;2200;60;
051012;2300;63;
