FECHA (YYMMDD);HORA (HHMM);;
090918;0100;;
090918;0200;;
090918;0300;;
090918;0400;;
090918;0500;;
090918;0600;;
090918;0700;;
090918;0800;;
090918;0900;;
090918;1000;;
090918;1100;;
090918;1200;;
090918;1300;;
090918;1400;;
090918;1500;;
090918;1600;;
090918;1700;;
090918;1800;;
090918;1900;;
090918;2000;;
090918;2100;;
090918;2200;;
090918;2300;9;
090919;0000;9;
090919;0100;9;
090919;0200;;
090919;0300;;
090919;0400;;
090919;0500;;
090919;0600;;
090919;0700;;
090919;0800;9;
090919;0900;;
090919;1000;;
090919;1100;;
090919;1200;;
090919;1300;;
090919;1400;;
090919;1500;;
090919;1600;;
090919;1700;;
090919;1800;;
090919;1900;;
090919;2000;;
090919;2100;;
090919;2200;;
090919;2300;;
090920;0000;;
090920;0100;;
090920;0200;;
090920;0300;;
090920;0400;;
090920;0500;;
090920;0600;;
090920;0700;;
090920;0800;;
090920;0900;;
090920;1000;;
090920;1100;;
090920;1200;;
090920;1300;;
090920;1400;;
090920;1500;;
090920;1600;;
090920;1700;;
090920;1800;;
090920;1900;;
090920;2000;;
090920;2100;;
090920;2200;;
090920;2300;;
090921;0000;;
090921;0100;;
090921;0200;;
090921;0300;;
090921;0400;;
090921;0500;;
090921;0600;;
090921;0700;;
090921;0800;;
090921;0900;;
090921;1000;;
090921;1100;;
090921;1200;;
090921;1300;;
090921;1400;;
090921;1500;;
090921;1600;;
090921;1700;;
090921;1800;;
090921;1900;;
090921;2000;;
090921;2100;;
090921;2200;;
090921;2300;;
090922;0000;;
090922;0100;;
090922;0200;;
090922;0300;;
090922;0400;;
090922;0500;;
090922;0600;;
090922;0700;;
090922;0800;;
090922;0900;;
090922;1000;;
090922;1100;;
090922;1200;;
090922;1300;;
090922;1400;;
090922;1500;;
090922;1600;;
090922;1700;;
090922;1800;;
090922;1900;;
090922;2000;;
090922;2100;;
090922;2200;;
090922;2300;;
090923;0000;;
090923;0100;;
090923;0200;;
090923;0300;;
090923;0400;;
090923;0500;;
090923;0600;;
090923;0700;;
090923;0800;;
090923;0900;;
090923;1000;;
090923;1100;;
090923;1200;;
090923;1300;;
090923;1400;;
090923;1500;;
090923;1600;;
090923;1700;;
090923;1800;;
090923;1900;;
090923;2000;;
090923;2100;;
090923;2200;;
090923;2300;;
090924;0000;;
090924;0100;;
090924;0200;;
090924;0300;;
090924;0400;;
090924;0500;;
090924;0600;;
090924;0700;;
090924;0800;;
090924;0900;;
090924;1000;;
090924;1100;;
090924;1200;;
090924;1300;;
090924;1400;;
090924;1500;;
090924;1600;;
090924;1700;;
090924;1800;;
090924;1900;;
090924;2000;;
090924;2100;;
090924;2200;;
090924;2300;;
090925;0000;;
090925;0100;;
090925;0200;;
090925;0300;;
090925;0400;;
090925;0500;;
090925;0600;;
090925;0700;;
090925;0800;;
090925;0900;;
090925;1000;;
090925;1100;;
090925;1200;;
090925;1300;;
090925;1400;;
090925;1500;;
090925;1600;;
090925;1700;;
090925;1800;;
090925;1900;;
090925;2000;;
090925;2100;;
090925;2200;;
090925;2300;;
090926;0000;;
090926;0100;;
090926;0200;;
090926;0300;;
090926;0400;;
090926;0500;;
090926;0600;;
090926;0700;;
090926;0800;;
090926;0900;;
090926;1000;;
090926;1100;;
090926;1200;;
090926;1300;;
090926;1400;;
090926;1500;;
090926;1600;;
090926;1700;;
090926;1800;;
090926;1900;;
090926;2000;;
090926;2100;;
090926;2200;;
090926;2300;;
090927;0000;;
090927;0100;;
090927;0200;;
090927;0300;;
090927;0400;;
090927;0500;;
090927;0600;;
090927;0700;;
090927;0800;;
090927;0900;;
090927;1000;;
090927;1100;;
090927;1200;;
090927;1300;;
090927;1400;;
090927;1500;;
090927;1600;;
090927;1700;;
090927;1800;;
090927;1900;;
090927;2000;;
090927;2100;;
090927;2200;;
090927;2300;;
090928;0000;;
090928;0100;;
090928;0200;;
090928;0300;;
090928;0400;;
090928;0500;;
090928;0600;;
090928;0700;;
090928;0800;;
090928;0900;;
090928;1000;;
090928;1100;;
090928;1200;;
090928;1300;;
090928;1400;;
090928;1500;;
090928;1600;;
090928;1700;;
090928;1800;;
090928;1900;;
090928;2000;;
090928;2100;;
090928;2200;;
090928;2300;;
090929;0000;;
090929;0100;;
090929;0200;;
090929;0300;;
090929;0400;;
090929;0500;;
090929;0600;;
090929;0700;;
090929;0800;;
090929;0900;;
090929;1000;;
090929;1100;;
090929;1200;;
090929;1300;;
090929;1400;;
090929;1500;;
090929;1600;;
090929;1700;;
090929;1800;;
090929;1900;;
090929;2000;;
090929;2100;;
090929;2200;;
090929;2300;;
090930;0000;;
090930;0100;;
090930;0200;;
090930;0300;;
090930;0400;;
090930;0500;;
090930;0600;;
090930;0700;;
090930;0800;;
090930;0900;;
090930;1000;;
090930;1100;;
090930;1200;;
090930;1300;;
090930;1400;;
090930;1500;;
090930;1600;;
090930;1700;;
090930;1800;;
090930;1900;;
090930;2000;;
090930;2100;;
090930;2200;;
090930;2300;;
091001;0000;;
091001;0100;;
091001;0200;;
091001;0300;;
091001;0400;;
091001;0500;;
091001;0600;;
091001;0700;;
091001;0800;;
091001;0900;;
091001;1000;;
091001;1100;;
091001;1200;;
091001;1300;;
091001;1400;;
091001;1500;;
091001;1600;;
091001;1700;;
091001;1800;;
091001;1900;;
091001;2000;;
091001;2100;;
091001;2200;;
091001;2300;;
091002;0000;;
091002;0100;;
091002;0200;;
091002;0300;;
091002;0400;;
091002;0500;;
091002;0600;;
091002;0700;;
091002;0800;;
091002;0900;;
091002;1000;;
091002;1100;;
091002;1200;;
091002;1300;;
091002;1400;;
091002;1500;;
