FECHA (YYMMDD);HORA (HHMM);;
120101;0100;99,8999;
120101;0200;82,3999;
120101;0300;71,8799;
120101;0400;66,22;
120101;0500;47,21;
120101;0600;21,79;
120101;0700;34,39;
120101;0800;24,76;
120101;0900;307,5;
120101;1000;324,5;
120101;1100;316,2;
120101;1200;280,2;
120101;1300;281,2;
120101;1400;275,5;
120101;1500;275,7;
120101;1600;274,7;
120101;1700;266,4;
120101;1800;258;
120101;1900;244,6;
120101;2000;234,5;
120101;2100;234,6;
120101;2200;214,9;
120101;2300;187;
120102;0000;10,38;
120102;0100;298,5;
120102;0200;6,92;
120102;0300;27,31;
120102;0400;22,51;
120102;0500;22,44;
120102;0600;21,57;
120102;0700;18,82;
120102;0800;325;
120102;0900;337,3;
120102;1000;6,924;
120102;1100;337,7;
120102;1200;346,8;
120102;1300;309,8;
120102;1400;309,7;
120102;1500;310,1;
120102;1600;301,6;
120102;1700;296,6;
120102;1800;269,9;
120102;1900;241,8;
120102;2000;231,3;
120102;2100;225,2;
120102;2200;227,9;
120102;2300;285,6;
120103;0000;249,1;
120103;0100;276,8;
120103;0200;23,85;
120103;0300;295,6;
120103;0400;272;
120103;0500;231,2;
120103;0600;224;
120103;0700;253,9;
120103;0800;343,2;
120103;0900;314,6;
120103;1000;326,3;
120103;1100;320,2;
120103;1200;346,4;
120103;1300;328;
120103;1400;303,5;
120103;1500;304,1;
120103;1600;289;
120103;1700;271,6;
120103;1800;262,5;
120103;1900;258,4;
120103;2000;267,4;
120103;2100;332;
120103;2200;358,5;
120103;2300;17,17;
120104;0000;354,1;
120104;0100;23,22;
120104;0200;14,28;
120104;0300;24,29;
120104;0400;358,1;
120104;0500;17,9;
120104;0600;22,55;
120104;0700;29;
120104;0800;24,26;
120104;0900;30,84;
120104;1000;22,98;
120104;1100;15,56;
120104;1200;348,7;
120104;1300;343,7;
120104;1400;324,4;
120104;1500;329,1;
120104;1600;351,7;
120104;1700;336,5;
120104;1800;323,1;
120104;1900;344,5;
120104;2000;357,2;
120104;2100;260,4;
120104;2200;195;
120104;2300;150,1;
120105;0000;76,36;
120105;0100;27,28;
120105;0200;19,33;
120105;0300;21,27;
120105;0400;18,81;
120105;0500;11,75;
120105;0600;8,34;
120105;0700;24,25;
120105;0800;23,74;
120105;0900;28,5;
120105;1000;4,13799;
120105;1100;344,3;
120105;1200;319;
120105;1300;316,2;
120105;1400;337,2;
120105;1500;342,4;
120105;1600;343,9;
120105;1700;352,4;
120105;1800;315,2;
120105;1900;298,2;
120105;2000;305,1;
120105;2100;249,1;
120105;2200;193,8;
120105;2300;201,1;
120106;0000;196,9;
120106;0100;118,9;
120106;0200;116,3;
120106;0300;206,9;
120106;0400;189,5;
120106;0500;229;
120106;0600;125,4;
120106;0700;55,74;
120106;0800;13,72;
120106;0900;14,94;
120106;1000;340,2;
120106;1100;321,1;
120106;1200;306,9;
120106;1300;318,8;
120106;1400;334,8;
120106;1500;343,3;
120106;1600;350;
120106;1700;355,3;
120106;1800;355,2;
120106;1900;343,5;
120106;2000;335,9;
120106;2100;203,4;
120106;2200;174,7;
120106;2300;180,6;
120107;0000;204,9;
120107;0100;185,5;
120107;0200;120;
120107;0300;94,3999;
120107;0400;91,2999;
120107;0500;73,37;
120107;0600;82,1;
120107;0700;68,2799;
120107;0800;56,99;
120107;0900;12,54;
120107;1000;13,58;
120107;1100;346,7;
120107;1200;320,7;
120107;1300;323,3;
120107;1400;311,7;
120107;1500;292,6;
120107;1600;327,9;
120107;1700;346,7;
120107;1800;348,8;
120107;1900;345,9;
120107;2000;296,4;
120107;2100;282,3;
120107;2200;120,2;
120107;2300;117,5;
120108;0000;158;
120108;0100;98,2999;
120108;0200;102,6;
120108;0300;83,6;
120108;0400;83,8999;
120108;0500;98,2;
120108;0600;113,9;
120108;0700;100,2;
120108;0800;70,8999;
120108;0900;16,09;
120108;1000;315,4;
120108;1100;294,2;
120108;1200;292,2;
