FECHA (YYMMDD);HORA (HHMM);;
120101;0100;85,7;
120101;0200;86,6;
120101;0300;87,3999;
120101;0400;87,8999;
120101;0500;87,7998;
120101;0600;86,2;
120101;0700;84,7998;
120101;0800;80,3999;
120101;0900;73,86;
120101;1000;67,5398;
120101;1100;66,72;
120101;1200;65,87;
120101;1300;62,1299;
120101;1400;68,1898;
120101;1500;64,3899;
120101;1600;71,24;
120101;1700;69,8799;
120101;1800;69,61;
120101;1900;74,49;
120101;2000;81,8999;
120101;2100;82,6;
120101;2200;82,2;
120101;2300;83,1;
120102;0000;83;
120102;0100;83,8999;
120102;0200;83,7998;
120102;0300;84,1;
120102;0400;84,5;
120102;0500;84,7998;
120102;0600;85,1;
120102;0700;84,2;
120102;0800;82,7998;
120102;0900;80,2;
120102;1000;69,95;
120102;1100;68,12;
120102;1200;67,12;
120102;1300;65,2599;
120102;1400;64,84;
120102;1500;65,0698;
120102;1600;67,73;
120102;1700;66,7;
120102;1800;72,58;
120102;1900;76,2;
120102;2000;80,6;
120102;2100;83,1;
120102;2200;83,7;
120102;2300;83,8999;
120103;0000;83,2998;
120103;0100;84,3999;
120103;0200;85,2998;
120103;0300;86,1;
120103;0400;86,7998;
120103;0500;86,7;
120103;0600;87,2;
120103;0700;86,8999;
120103;0800;86,7;
120103;0900;86;
120103;1000;83;
120103;1100;79,0698;
120103;1200;73,1;
120103;1300;71,96;
120103;1400;66,97;
120103;1500;67,21;
120103;1600;64,6598;
120103;1700;66,61;
120103;1800;70,7599;
120103;1900;77,08;
120103;2000;80,2998;
120103;2100;80,5;
120103;2200;80,2998;
120103;2300;80;
120104;0000;80,7998;
120104;0100;81,5;
120104;0200;82,8999;
120104;0300;82,7;
120104;0400;83,5;
120104;0500;83,7998;
120104;0600;84,2;
120104;0700;84;
120104;0800;82,7998;
120104;0900;76,1499;
120104;1000;73,3799;
120104;1100;65,1399;
120104;1200;65,5199;
120104;1300;65,95;
120104;1400;62,6;
120104;1500;65,1499;
120104;1600;67,48;
120104;1700;67,2898;
120104;1800;68,7898;
120104;1900;70,24;
120104;2000;74,7798;
120104;2100;78,1399;
120104;2200;79,22;
120104;2300;81,1;
120105;0000;80,3999;
120105;0100;80,2998;
120105;0200;80,1;
120105;0300;80,3999;
120105;0400;80,3999;
120105;0500;80,1;
