FECHA (YYMMDD);HORA (HHMM);;
200412;0100;;
200412;0200;;
200412;0300;;
200412;0400;;
200412;0500;;
200412;0600;;
200412;0700;;
200412;0800;;
200412;0900;;
200412;1000;;
200412;1100;;
200412;1200;;
200412;1300;;
200412;1400;;
200412;1500;;
200412;1600;;
200412;1700;;
200412;1800;78;
200412;1900;79;
200412;2000;81;
200412;2100;82;
200412;2200;81;
200412;2300;84;
200413;0000;87;
200413;0100;90;
200413;0200;92;
200413;0300;92;
200413;0400;90;
200413;0500;88;
200413;0600;87;
200413;0700;90;
200413;0800;88;
200413;0900;66;
200413;1000;61;
200413;1100;55;
200413;1200;50;
200413;1300;55;
200413;1400;55;
200413;1500;56;
200413;1600;50;
200413;1700;52;
200413;1800;64;
200413;1900;74;
200413;2000;81;
200413;2100;85;
200413;2200;85;
200413;2300;86;
200414;0000;88;
200414;0100;90;
200414;0200;91;
200414;0300;92;
200414;0400;93;
200414;0500;93;
200414;0600;94;
200414;0700;95;
200414;0800;95;
200414;0900;86;
200414;1000;64;
200414;1100;63;
200414;1200;61;
200414;1300;58;
200414;1400;56;
200414;1500;55;
200414;1600;63;
200414;1700;72;
200414;1800;80;
200414;1900;87;
200414;2000;90;
200414;2100;91;
200414;2200;92;
200414;2300;93;
200415;0000;93;
200415;0100;95;
200415;0200;95;
200415;0300;95;
200415;0400;96;
200415;0500;95;
200415;0600;90;
200415;0700;84;
200415;0800;76;
200415;0900;64;
200415;1000;61;
200415;1100;58;
200415;1200;64;
200415;1300;65;
200415;1400;65;
200415;1500;66;
200415;1600;68;
200415;1700;71;
200415;1800;79;
200415;1900;85;
200415;2000;88;
200415;2100;91;
200415;2200;92;
200415;2300;92;
200416;0000;93;
200416;0100;94;
200416;0200;95;
200416;0300;96;
200416;0400;96;
200416;0500;96;
200416;0600;96;
200416;0700;96;
200416;0800;97;
200416;0900;85;
200416;1000;75;
200416;1100;73;
200416;1200;62;
200416;1300;62;
200416;1400;62;
200416;1500;65;
200416;1600;65;
200416;1700;73;
200416;1800;83;
200416;1900;88;
200416;2000;91;
200416;2100;93;
200416;2200;93;
200416;2300;94;
200417;0000;94;
200417;0100;95;
200417;0200;95;
200417;0300;95;
200417;0400;95;
200417;0500;95;
200417;0600;96;
200417;0700;97;
200417;0800;98;
200417;0900;99;
200417;1000;98;
200417;1100;78;
200417;1200;72;
200417;1300;68;
200417;1400;64;
200417;1500;67;
200417;1600;71;
200417;1700;80;
200417;1800;85;
200417;1900;92;
200417;2000;94;
200417;2100;94;
200417;2200;95;
200417;2300;96;
200418;0000;96;
200418;0100;97;
200418;0200;97;
200418;0300;97;
200418;0400;98;
200418;0500;98;
200418;0600;98;
200418;0700;98;
200418;0800;98;
200418;0900;99;
200418;1000;98;
200418;1100;79;
200418;1200;69;
200418;1300;67;
200418;1400;68;
200418;1500;71;
200418;1600;83;
200418;1700;91;
200418;1800;94;
200418;1900;96;
200418;2000;97;
200418;2100;98;
200418;2200;98;
200418;2300;98;
200419;0000;98;
200419;0100;98;
200419;0200;98;
200419;0300;98;
200419;0400;99;
200419;0500;98;
200419;0600;67;
200419;0700;;
200419;0800;;
200419;0900;;
200419;1000;;
200419;1100;;
200419;1200;;
200419;1300;;
200419;1400;;
200419;1500;;
200419;1600;;
200419;1700;;
200419;1800;;
200419;1900;;
200419;2000;;
200419;2100;;
200419;2200;;
200419;2300;;
200420;0000;;
200420;0100;;
200420;0200;;
200420;0300;;
200420;0400;;
200420;0500;;
200420;0600;;
200420;0700;;
200420;0800;;
200420;0900;;
200420;1000;;
200420;1100;;
200420;1200;67;
200420;1300;60;
200420;1400;61;
200420;1500;65;
200420;1600;66;
200420;1700;70;
200420;1800;77;
200420;1900;81;
200420;2000;85;
200420;2100;88;
200420;2200;91;
200420;2300;92;
200421;0000;92;
200421;0100;92;
200421;0200;93;
200421;0300;94;
200421;0400;94;
200421;0500;95;
200421;0600;95;
200421;0700;95;
200421;0800;96;
200421;0900;91;
200421;1000;79;
200421;1100;72;
200421;1200;68;
200421;1300;67;
200421;1400;70;
200421;1500;73;
200421;1600;80;
200421;1700;83;
200421;1800;86;
200421;1900;86;
200421;2000;85;
200421;2100;85;
200421;2200;85;
200421;2300;86;
200422;0000;87;
200422;0100;88;
200422;0200;88;
200422;0300;88;
200422;0400;89;
200422;0500;89;
200422;0600;89;
200422;0700;89;
200422;0800;87;
200422;0900;85;
200422;1000;82;
200422;1100;80;
200422;1200;79;
200422;1300;75;
200422;1400;72;
200422;1500;74;
200422;1600;78;
200422;1700;80;
200422;1800;83;
200422;1900;83;
200422;2000;84;
200422;2100;85;
200422;2200;85;
200422;2300;85;
200423;0000;85;
200423;0100;86;
200423;0200;90;
200423;0300;93;
200423;0400;93;
200423;0500;90;
200423;0600;92;
200423;0700;93;
200423;0800;91;
200423;0900;86;
200423;1000;81;
200423;1100;77;
200423;1200;78;
200423;1300;78;
200423;1400;75;
200423;1500;79;
200423;1600;80;
200423;1700;80;
200423;1800;85;
200423;1900;87;
200423;2000;88;
200423;2100;90;
200423;2200;88;
200423;2300;89;
200424;0000;91;
200424;0100;85;
200424;0200;84;
200424;0300;81;
200424;0400;86;
200424;0500;87;
200424;0600;87;
200424;0700;88;
200424;0800;86;
200424;0900;72;
200424;1000;64;
200424;1100;61;
200424;1200;65;
200424;1300;67;
200424;1400;68;
200424;1500;71;
200424;1600;74;
200424;1700;76;
200424;1800;77;
200424;1900;74;
200424;2000;75;
200424;2100;79;
200424;2200;79;
200424;2300;76;
200425;0000;81;
200425;0100;85;
200425;0200;88;
200425;0300;88;
200425;0400;86;
200425;0500;88;
200425;0600;89;
200425;0700;90;
200425;0800;83;
200425;0900;62;
200425;1000;57;
200425;1100;52;
200425;1200;54;
200425;1300;52;
200425;1400;53;
200425;1500;58;
200425;1600;61;
200425;1700;66;
200425;1800;78;
200425;1900;86;
200425;2000;90;
200425;2100;91;
200425;2200;92;
200425;2300;93;
200426;0000;93;
200426;0100;94;
200426;0200;94;
200426;0300;94;
200426;0400;95;
200426;0500;94;
200426;0600;94;
200426;0700;94;
200426;0800;94;
200426;0900;82;
200426;1000;67;
200426;1100;62;
200426;1200;63;
200426;1300;66;
200426;1400;68;
200426;1500;64;
200426;1600;68;
200426;1700;84;
200426;1800;88;
200426;1900;91;
200426;2000;93;
200426;2100;92;
200426;2200;91;
200426;2300;90;
200427;0000;89;
200427;0100;88;
200427;0200;86;
200427;0300;85;
200427;0400;82;
200427;0500;84;
200427;0600;85;
200427;0700;88;
200427;0800;86;
200427;0900;68;
200427;1000;61;
200427;1100;58;
200427;1200;60;
200427;1300;64;
200427;1400;69;
200427;1500;72;
200427;1600;76;
200427;1700;83;
200427;1800;85;
200427;1900;90;
200427;2000;92;
200427;2100;93;
200427;2200;93;
200427;2300;94;
200428;0000;95;
200428;0100;95;
200428;0200;94;
200428;0300;94;
200428;0400;94;
200428;0500;93;
200428;0600;91;
200428;0700;91;
200428;0800;90;
200428;0900;74;
200428;1000;54;
200428;1100;52;
