FECHA (YYMMDD);HORA (HHMM);;
170101;0100;;
170101;0200;;
170101;0300;;
170101;0400;;
170101;0500;;
170101;0600;;
170101;0700;;
170101;0800;;
170101;0900;;
170101;1000;;
170101;1100;;
170101;1200;;
170101;1300;;
170101;1400;;
170101;1500;;
170101;1600;;
170101;1700;;
170101;1800;;
170101;1900;;
170101;2000;;
170101;2100;;
170101;2200;;
170101;2300;;
170102;0000;;
170102;0100;;
170102;0200;;
170102;0300;;
170102;0400;;
170102;0500;;
170102;0600;;
170102;0700;;
170102;0800;;
170102;0900;;
170102;1000;;
170102;1100;;
170102;1200;;
170102;1300;;
170102;1400;;
170102;1500;;
170102;1600;;
170102;1700;;
170102;1800;;
170102;1900;;
170102;2000;;
170102;2100;;
170102;2200;;
170102;2300;;
170103;0000;;
170103;0100;;
170103;0200;;
170103;0300;;
170103;0400;;
170103;0500;;
170103;0600;;
170103;0700;;
170103;0800;;
170103;0900;;
170103;1000;;
170103;1100;;
170103;1200;;
170103;1300;;
170103;1400;;
170103;1500;;
170103;1600;;
170103;1700;;
170103;1800;;
170103;1900;;
170103;2000;;
170103;2100;;
170103;2200;;
170103;2300;;
170104;0000;;
170104;0100;;
170104;0200;;
170104;0300;;
170104;0400;;
170104;0500;;
170104;0600;;
170104;0700;;
170104;0800;;
170104;0900;;
170104;1000;;
170104;1100;;
170104;1200;;
170104;1300;;
170104;1400;;
170104;1500;;
170104;1600;;
170104;1700;;
170104;1800;;
170104;1900;;
170104;2000;;
170104;2100;;
170104;2200;;
170104;2300;;
170105;0000;;
170105;0100;;
170105;0200;;
170105;0300;;
170105;0400;;
170105;0500;;
170105;0600;;
170105;0700;;
170105;0800;;
170105;0900;;
170105;1000;;
170105;1100;;
170105;1200;;
170105;1300;;
170105;1400;;
170105;1500;;
170105;1600;;
170105;1700;;
170105;1800;;
170105;1900;;
170105;2000;;
170105;2100;;
170105;2200;;
170105;2300;;
170106;0000;;
170106;0100;;
170106;0200;;
170106;0300;;
170106;0400;;
170106;0500;;
170106;0600;;
170106;0700;;
170106;0800;;
170106;0900;;
170106;1000;;
170106;1100;;
170106;1200;;
170106;1300;;
170106;1400;;
170106;1500;;
170106;1600;;
170106;1700;;
170106;1800;;
170106;1900;;
170106;2000;;
170106;2100;;
170106;2200;;
170106;2300;;
170107;0000;;
170107;0100;;
170107;0200;;
170107;0300;;
170107;0400;;
170107;0500;;
170107;0600;;
170107;0700;;
170107;0800;;
170107;0900;;
170107;1000;;
170107;1100;;
170107;1200;;
170107;1300;;
170107;1400;;
170107;1500;;
170107;1600;;
170107;1700;;
170107;1800;;
170107;1900;;
170107;2000;;
170107;2100;;
170107;2200;;
170107;2300;;
170108;0000;;
170108;0100;;
170108;0200;;
170108;0300;;
170108;0400;;
170108;0500;;
170108;0600;;
170108;0700;;
170108;0800;;
170108;0900;;
170108;1000;;
170108;1100;;
170108;1200;;
170108;1300;;
170108;1400;;
170108;1500;;
170108;1600;;
170108;1700;;
170108;1800;;
170108;1900;;
170108;2000;;
170108;2100;;
170108;2200;;
170108;2300;;
170109;0000;;
170109;0100;;
170109;0200;;
170109;0300;;
170109;0400;;
170109;0500;;
170109;0600;;
170109;0700;;
170109;0800;;
170109;0900;;
170109;1000;;
170109;1100;;
170109;1200;;
170109;1300;;
170109;1400;;
170109;1500;;
170109;1600;;
170109;1700;;
170109;1800;;
170109;1900;;
170109;2000;;
170109;2100;;
170109;2200;;
170109;2300;;
170110;0000;;
170110;0100;;
170110;0200;;
170110;0300;;
170110;0400;;
170110;0500;;
170110;0600;;
170110;0700;;
170110;0800;;
170110;0900;;
170110;1000;;
170110;1100;;
170110;1200;;
170110;1300;;
170110;1400;;
170110;1500;;
170110;1600;;
170110;1700;;
170110;1800;;
170110;1900;;
170110;2000;;
170110;2100;;
170110;2200;;
170110;2300;;
170111;0000;;
170111;0100;;
170111;0200;;
170111;0300;;
170111;0400;;
170111;0500;;
170111;0600;;
170111;0700;;
170111;0800;;
170111;0900;;
170111;1000;;
170111;1100;;
170111;1200;;
170111;1300;;
170111;1400;;
170111;1500;;
170111;1600;;
170111;1700;;
170111;1800;;
170111;1900;;
170111;2000;;
170111;2100;;
170111;2200;;
170111;2300;;
170112;0000;;
170112;0100;;
170112;0200;;
170112;0300;;
170112;0400;;
170112;0500;;
170112;0600;;
170112;0700;;
170112;0800;;
170112;0900;;
170112;1000;;
170112;1100;;
170112;1200;;
170112;1300;;
170112;1400;;
170112;1500;;
170112;1600;;
170112;1700;;
170112;1800;;
170112;1900;;
170112;2000;;
170112;2100;;
170112;2200;;
170112;2300;;
170113;0000;;
170113;0100;;
170113;0200;;
170113;0300;;
170113;0400;;
170113;0500;;
170113;0600;;
170113;0700;;
170113;0800;;
170113;0900;;
170113;1000;;
170113;1100;;
170113;1200;;
170113;1300;;
170113;1400;;
170113;1500;;
170113;1600;;
170113;1700;;
170113;1800;;
170113;1900;;
170113;2000;;
170113;2100;;
170113;2200;;
170113;2300;;
170114;0000;;
170114;0100;;
170114;0200;;
170114;0300;;
170114;0400;;
170114;0500;;
170114;0600;;
170114;0700;;
170114;0800;;
170114;0900;;
170114;1000;;
170114;1100;;
170114;1200;;
170114;1300;;
170114;1400;;
170114;1500;;
170114;1600;;
170114;1700;;
170114;1800;;
170114;1900;;
170114;2000;;
170114;2100;;
