FECHA (YYMMDD);HORA (HHMM);;
120101;0100;0,212;
120101;0200;1,133;
120101;0300;1,506;
120101;0400;1,576;
120101;0500;1,398;
120101;0600;0,566999;
120101;0700;0,752;
120101;0800;1,136;
120101;0900;1,009;
120101;1000;1,346;
120101;1100;1,731;
120101;1200;2,485;
120101;1300;2,563;
120101;1400;3,096;
120101;1500;2,624;
120101;1600;2,579;
120101;1700;2,586;
120101;1800;2,239;
120101;1900;2,14;
120101;2000;1,936;
120101;2100;1,053;
120101;2200;0,582;
120101;2300;0,258;
120102;0000;0,179;
120102;0100;0,561;
120102;0200;0,645;
120102;0300;0,881;
120102;0400;0,842999;
120102;0500;1,128;
120102;0600;1,274;
120102;0700;0,778;
120102;0800;0,625999;
120102;0900;0,921;
120102;1000;1,4;
120102;1100;1,581;
120102;1200;1,512;
120102;1300;1,787;
120102;1400;1,868;
120102;1500;1,916;
120102;1600;1,969;
120102;1700;1,723;
120102;1800;2,245;
120102;1900;2,218;
120102;2000;1,755;
120102;2100;1,463;
120102;2200;1,576;
120102;2300;0,794;
120103;0000;0,44;
120103;0100;0,639;
120103;0200;0,638;
120103;0300;0,631;
120103;0400;0,967999;
120103;0500;0,792;
120103;0600;0,789;
120103;0700;0,343;
120103;0800;0,499;
120103;0900;0,759;
120103;1000;0,846999;
120103;1100;1,116;
120103;1200;0,992999;
120103;1300;1,562;
120103;1400;2,037;
120103;1500;1,952;
120103;1600;2,172;
120103;1700;2,506;
120103;1800;2,393;
120103;1900;1,869;
120103;2000;1,253;
120103;2100;0,5;
120103;2200;0,4;
120103;2300;0,573999;
120104;0000;0,443;
120104;0100;0,862;
120104;0200;0,651999;
120104;0300;0,462;
120104;0400;0,393;
120104;0500;0,653;
120104;0600;0,862;
120104;0700;1,583;
120104;0800;1,636;
120104;0900;2,41;
120104;1000;2,247;
120104;1100;2,153;
120104;1200;1,67;
120104;1300;1,798;
120104;1400;2,036;
120104;1500;1,909;
120104;1600;1,914;
120104;1700;1,462;
120104;1800;1,634;
120104;1900;0,969;
120104;2000;0,601999;
120104;2100;0,384;
120104;2200;0,533999;
120104;2300;0,149;
120105;0000;0,045;
120105;0100;0,759999;
120105;0200;0,603;
120105;0300;1,195;
120105;0400;1,132;
120105;0500;0,684;
120105;0600;0,573999;
120105;0700;0,967999;
120105;0800;1,422;
120105;0900;2,41;
120105;1000;1,566;
120105;1100;1,204;
120105;1200;2,094;
120105;1300;2,23;
120105;1400;1,86;
120105;1500;1,544;
120105;1600;1,498;
120105;1700;1,251;
120105;1800;1,252;
120105;1900;1,287;
120105;2000;0,559;
120105;2100;0,568999;
120105;2200;0,830999;
120105;2300;0,813999;
120106;0000;0,266;
120106;0100;0,277;
120106;0200;0,365;
120106;0300;0,74;
120106;0400;0,919;
120106;0500;0,329;
120106;0600;0,0799999;
120106;0700;0,16;
120106;0800;0,794;
120106;0900;1,023;
120106;1000;0,761;
120106;1100;1,02;
120106;1200;1,616;
120106;1300;1,948;
120106;1400;1,493;
120106;1500;1,474;
120106;1600;1,313;
120106;1700;1,209;
120106;1800;0,813;
120106;1900;0,77;
120106;2000;0,213;
120106;2100;0,655999;
120106;2200;0,615999;
120106;2300;0,669999;
120107;0000;0,603999;
120107;0100;0,355;
120107;0200;0,125;
120107;0300;0,62;
120107;0400;0,451;
120107;0500;0,286;
120107;0600;0,617;
120107;0700;0,537999;
120107;0800;1,507;
120107;0900;1,139;
120107;1000;1,412;
120107;1100;1,489;
120107;1200;2,011;
120107;1300;1,898;
120107;1400;1,929;
120107;1500;3,122;
120107;1600;1,668;
120107;1700;1,608;
120107;1800;1,303;
120107;1900;0,978999;
120107;2000;1,254;
120107;2100;0,561999;
120107;2200;0,349;
120107;2300;0,277;
120108;0000;0,283;
120108;0100;0,211;
120108;0200;0,213;
120108;0300;0,29;
120108;0400;0,238;
120108;0500;0,549;
120108;0600;0,433;
120108;0700;0,976;
120108;0800;1,652;
120108;0900;1,266;
120108;1000;1,484;
120108;1100;2,368;
120108;1200;2,366;
120108;1300;2,823;
120108;1400;2,65;
120108;1500;2,62;
120108;1600;2,638;
120108;1700;3,082;
120108;1800;2,953;
120108;1900;2,341;
120108;2000;2,047;
120108;2100;0,914;
120108;2200;0,338;
120108;2300;0,506;
120109;0000;0,502999;
120109;0100;0,712999;
120109;0200;0,428;
120109;0300;0,014;
120109;0400;0,332;
120109;0500;0,605;
120109;0600;1,106;
120109;0700;1,049;
120109;0800;1,384;
120109;0900;1,177;
120109;1000;1,216;
120109;1100;3,076;
120109;1200;3,159;
120109;1300;2,844;
120109;1400;3,423;
120109;1500;2,954;
120109;1600;3,537;
120109;1700;3,566;
120109;1800;3,227;
120109;1900;2,519;
120109;2000;1,567;
120109;2100;0,683;
120109;2200;0,606999;
120109;2300;0,514;
120110;0000;0,174;
120110;0100;0,391;
120110;0200;0,374;
120110;0300;0,491;
120110;0400;0,398;
120110;0500;0,498;
120110;0600;0,125;
120110;0700;0,735;
120110;0800;0,639999;
120110;0900;2,007;
120110;1000;3,202;
120110;1100;4,605;
120110;1200;5,155;
120110;1300;6,266;
120110;1400;5,714;
120110;1500;6,893;
120110;1600;6,742;
120110;1700;6,49599;
120110;1800;5,602;
120110;1900;5,723;
