FECHA (YYMMDD);HORA (HHMM);;
090531;0100;;
090531;0200;;
090531;0300;;
090531;0400;;
090531;0500;;
090531;0600;;
090531;0700;;
090531;0800;;
090531;0900;;
090531;1000;;
090531;1100;;
090531;1200;;
090531;1300;;
090531;1400;;
090531;1500;;
090531;1600;;
090531;1700;;
090531;1800;;
090531;1900;;
090531;2000;;
090531;2100;;
090531;2200;;
090531;2300;136;
090601;0000;83;
090601;0100;167;
090601;0200;331;
090601;0300;87;
090601;0400;211;
090601;0500;104;
090601;0600;232;
090601;0700;24;
090601;0800;336;
090601;0900;305;
090601;1000;296;
090601;1100;282;
090601;1200;317;
090601;1300;313;
090601;1400;325;
090601;1500;290;
090601;1600;348;
090601;1700;33;
090601;1800;62;
090601;1900;66;
090601;2000;35;
090601;2100;236;
090601;2200;127;
090601;2300;81;
090602;0000;329;
090602;0100;240;
090602;0200;151;
090602;0300;191;
090602;0400;77;
090602;0500;322;
090602;0600;108;
090602;0700;122;
090602;0800;68;
090602;0900;75;
090602;1000;353;
090602;1100;182;
090602;1200;253;
090602;1300;267;
090602;1400;274;
090602;1500;274;
090602;1600;222;
090602;1700;220;
090602;1800;174;
090602;1900;114;
090602;2000;85;
090602;2100;77;
090602;2200;69;
090602;2300;68;
090603;0000;68;
090603;0100;77;
090603;0200;110;
090603;0300;116;
090603;0400;107;
090603;0500;98;
090603;0600;115;
090603;0700;115;
090603;0800;168;
090603;0900;245;
090603;1000;313;
090603;1100;21;
090603;1200;340;
090603;1300;337;
090603;1400;311;
090603;1500;291;
090603;1600;274;
090603;1700;247;
090603;1800;297;
090603;1900;3;
090603;2000;52;
090603;2100;209;
090603;2200;184;
090603;2300;178;
090604;0000;267;
090604;0100;23;
090604;0200;331;
090604;0300;74;
090604;0400;77;
090604;0500;73;
090604;0600;68;
090604;0700;110;
090604;0800;313;
090604;0900;295;
090604;1000;312;
090604;1100;281;
090604;1200;249;
090604;1300;222;
090604;1400;219;
090604;1500;223;
090604;1600;321;
090604;1700;68;
090604;1800;85;
090604;1900;84;
090604;2000;67;
090604;2100;82;
090604;2200;192;
090604;2300;101;
090605;0000;123;
090605;0100;89;
090605;0200;163;
090605;0300;82;
