FECHA (YYMMDD);HORA (HHMM);;
091231;0100;;
091231;0200;;
091231;0300;;
091231;0400;;
091231;0500;;
091231;0600;;
091231;0700;;
091231;0800;;
091231;0900;;
091231;1000;;
091231;1100;;
091231;1200;;
091231;1300;;
091231;1400;;
091231;1500;;
091231;1600;;
091231;1700;;
091231;1800;;
091231;1900;;
091231;2000;;
091231;2100;;
091231;2200;;
091231;2300;0,0632676;
100101;0000;0,456266;
100101;0100;0,142559;
100101;0200;0,0752691;
100101;0300;0,164473;
100101;0400;0,10955;
100101;0500;0,0542545;
100101;0600;0,0562047;
100101;0700;0,315046;
100101;0800;0,544016;
100101;0900;2,42599;
100101;1000;2,80947;
100101;1100;2,4748;
100101;1200;2,19222;
100101;1300;3,061;
100101;1400;3,16723;
100101;1500;2,89656;
100101;1600;2,70643;
100101;1700;2,7403;
100101;1800;2,42236;
100101;1900;1,20609;
100101;2000;0,757154;
100101;2100;0,475401;
100101;2200;0,603675;
100101;2300;0,800097;
100102;0000;0,168054;
100102;0100;0,187629;
100102;0200;0,139359;
100102;0300;0,472926;
100102;0400;0,0365376;
100102;0500;0,126736;
100102;0600;0,104684;
100102;0700;0,287245;
100102;0800;0,819407;
100102;0900;1,50604;
100102;1000;2,11072;
100102;1100;2,20041;
100102;1200;2,44689;
100102;1300;2,54953;
100102;1400;3,09389;
100102;1500;3,11966;
100102;1600;3,16216;
100102;1700;2,85428;
100102;1800;2,17641;
100102;1900;1,55703;
100102;2000;0,933987;
100102;2100;0,889217;
100102;2200;1,10025;
100102;2300;0,905078;
100103;0000;0,746819;
100103;0100;0,700454;
100103;0200;0,739359;
100103;0300;0,690759;
100103;0400;0,761456;
100103;0500;0,930172;
100103;0600;0,935122;
100103;0700;1,21272;
100103;0800;1,7798;
100103;0900;1,88464;
100103;1000;1,70326;
100103;1100;1,1374;
100103;1200;1,65608;
100103;1300;2,32411;
100103;1400;2,475;
100103;1500;2,14849;
100103;1600;2,71857;
100103;1700;2,76087;
100103;1800;1,63077;
100103;1900;1,43116;
100103;2000;0,935574;
100103;2100;0,334859;
100103;2200;0,193275;
100103;2300;0,520655;
100104;0000;0,400702;
100104;0100;0,335271;
100104;0200;0,0357909;
100104;0300;0,221866;
100104;0400;0,0578805;
100104;0500;0,0390698;
100104;0600;0,499587;
100104;0700;0,7068;
100104;0800;0,262049;
100104;0900;1,33855;
100104;1000;1,79142;
100104;1100;2,22152;
100104;1200;2,60823;
100104;1300;3,44046;
100104;1400;2,37971;
100104;1500;2,40374;
100104;1600;2,9646;
100104;1700;2,76394;
100104;1800;2,74432;
100104;1900;2,08308;
100104;2000;1,11204;
100104;2100;1,13178;
100104;2200;0,543921;
100104;2300;0,433455;
100105;0000;0,0780269;
100105;0100;0,576279;
100105;0200;0,396082;
100105;0300;0,0238033;
100105;0400;0,676869;
100105;0500;0,371381;
100105;0600;0,0680846;
100105;0700;0,359502;
100105;0800;1,52428;
100105;0900;1,95562;
100105;1000;2,41039;
100105;1100;2,81211;
100105;1200;3,0043;
100105;1300;3,25554;
100105;1400;3,70618;
100105;1500;3,40023;
100105;1600;3,68452;
100105;1700;3,49052;
100105;1800;2,50471;
100105;1900;2,33256;
100105;2000;1,88531;
100105;2100;1,03;
100105;2200;0,173625;
100105;2300;0,780072;
100106;0000;0,506076;
100106;0100;1,06711;
100106;0200;0,424541;
100106;0300;0,202756;
100106;0400;0,18174;
100106;0500;0,101898;
100106;0600;0,792429;
100106;0700;0,485809;
100106;0800;1,41514;
100106;0900;1,69035;
100106;1000;2,13507;
100106;1100;2,58799;
100106;1200;2,41546;
100106;1300;2,74049;
100106;1400;2,78208;
100106;1500;2,23317;
100106;1600;2,202;
100106;1700;2,94464;
100106;1800;1,59748;
100106;1900;1,39935;
100106;2000;1,25069;
100106;2100;0,99653;
100106;2200;0,24632;
100106;2300;0,259792;
100107;0000;0,752189;
100107;0100;0,858564;
100107;0200;0,995831;
100107;0300;0,998836;
100107;0400;1,11671;
100107;0500;1,01947;
100107;0600;0,890259;
100107;0700;0,95649;
100107;0800;1,1284;
100107;0900;1,98812;
100107;1000;2,78943;
100107;1100;2,6597;
100107;1200;2,71447;
100107;1300;3,59642;
100107;1400;2,60962;
100107;1500;2,20738;
100107;1600;2,21435;
100107;1700;2,3837;
100107;1800;1,51175;
100107;1900;1,26567;
100107;2000;0,572656;
100107;2100;0,0779841;
100107;2200;0,199603;
100107;2300;0,560263;
100108;0000;0,30341;
100108;0100;0,299556;
100108;0200;0,606021;
100108;0300;1,18322;
100108;0400;0,226989;
100108;0500;0,47089;
