"DateTime";"bl_height_3";"bl_height_2";"bl_height_1";"Mean_Layer_Height"
"2022-07-03 00:00:00";NaN;NaN;NaN;NaN
"2022-07-03 01:00:00";NaN;1000;160;190
"2022-07-03 02:00:00";770;400;120;190
"2022-07-03 03:00:00";NaN;530;150;130
"2022-07-03 04:00:00";NaN;770;140;140
"2022-07-03 05:00:00";NaN;650;100;170
"2022-07-03 06:00:00";NaN;830;130;100
"2022-07-03 07:00:00";NaN;720;210;210
"2022-07-03 08:00:00";730;430;150;190
"2022-07-03 09:00:00";NaN;780;160;150
"2022-07-03 10:00:00";720;280;60;150
"2022-07-03 11:00:00";740;310;70;90
"2022-07-03 12:00:00";NaN;NaN;580;60
"2022-07-03 13:00:00";930;650;340;560
"2022-07-03 14:00:00";NaN;NaN;340;340
"2022-07-03 15:00:00";NaN;810;350;340
"2022-07-03 16:00:00";NaN;660;310;350
"2022-07-03 17:00:00";NaN;670;280;350
"2022-07-03 18:00:00";660;350;140;160
"2022-07-03 19:00:00";NaN;NaN;290;130
"2022-07-03 20:00:00";NaN;610;250;280
"2022-07-03 21:00:00";NaN;NaN;280;240
"2022-07-03 22:00:00";NaN;660;180;310
"2022-07-03 23:00:00";NaN;NaN;220;260
"2022-07-04 00:00:00";NaN;390;180;180
"2022-07-04 01:00:00";NaN;NaN;200;180
"2022-07-04 02:00:00";NaN;NaN;150;180
"2022-07-04 03:00:00";NaN;NaN;240;190
"2022-07-04 04:00:00";NaN;NaN;200;230
"2022-07-04 05:00:00";NaN;NaN;230;200
"2022-07-04 06:00:00";NaN;NaN;230;230
"2022-07-04 07:00:00";NaN;NaN;230;230
"2022-07-04 08:00:00";NaN;NaN;210;210
"2022-07-04 09:00:00";NaN;NaN;190;200
"2022-07-04 10:00:00";NaN;NaN;190;200
"2022-07-04 11:00:00";NaN;410;140;210
"2022-07-04 12:00:00";NaN;NaN;180;180
"2022-07-04 13:00:00";NaN;NaN;270;200
"2022-07-04 14:00:00";NaN;560;520;480
"2022-07-04 15:00:00";NaN;NaN;510;530
"2022-07-04 16:00:00";NaN;NaN;570;590
"2022-07-04 17:00:00";NaN;1240;780;590
"2022-07-04 18:00:00";NaN;1140;290;280
"2022-07-04 19:00:00";NaN;NaN;NaN;NaN
"2022-07-04 20:00:00";1320;730;230;290
"2022-07-04 21:00:00";NaN;1270;260;200
"2022-07-04 22:00:00";NaN;990;120;270
"2022-07-04 23:00:00";NaN;560;70;270
"2022-07-05 00:00:00";NaN;850;390;270
"2022-07-05 01:00:00";NaN;920;300;360
"2022-07-05 02:00:00";NaN;850;190;210
"2022-07-05 03:00:00";910;580;150;190
"2022-07-05 04:00:00";NaN;740;180;170
"2022-07-05 05:00:00";NaN;550;90;170
"2022-07-05 06:00:00";NaN;630;230;170
"2022-07-05 07:00:00";690;240;400;180
"2022-07-05 08:00:00";690;480;250;80
"2022-07-05 09:00:00";NaN;780;260;560
"2022-07-05 10:00:00";NaN;690;500;530
"2022-07-05 11:00:00";800;450;240;250
"2022-07-05 12:00:00";NaN;780;120;190
"2022-07-05 13:00:00";NaN;NaN;NaN;NaN
"2022-07-05 14:00:00";NaN;NaN;530;550
"2022-07-05 15:00:00";NaN;NaN;640;540
"2022-07-05 16:00:00";NaN;NaN;820;670
"2022-07-05 17:00:00";NaN;1010;930;900
"2022-07-05 18:00:00";NaN;1010;900;900
"2022-07-05 19:00:00";930;550;110;860
"2022-07-05 20:00:00";1130;470;140;120
"2022-07-05 21:00:00";1300;430;160;140
"2022-07-05 22:00:00";1240;620;270;340
"2022-07-05 23:00:00";1280;580;110;240
"2022-07-06 00:00:00";1210;420;80;90
"2022-07-06 01:00:00";1120;490;280;300
"2022-07-06 02:00:00";NaN;400;90;230
"2022-07-06 03:00:00";NaN;690;370;80
"2022-07-06 04:00:00";NaN;NaN;320;360
"2022-07-06 05:00:00";NaN;620;100;520
"2022-07-06 06:00:00";NaN;NaN;530;570
"2022-07-06 07:00:00";NaN;NaN;230;410
"2022-07-06 08:00:00";NaN;990;210;190
"2022-07-06 09:00:00";NaN;810;70;90
"2022-07-06 10:00:00";NaN;1000;90;820
"2022-07-06 11:00:00";1970;940;60;90
"2022-07-06 12:00:00";NaN;NaN;NaN;90
"2022-07-06 13:00:00";NaN;NaN;NaN;NaN
"2022-07-06 14:00:00";NaN;NaN;NaN;NaN
"2022-07-06 15:00:00";NaN;NaN;NaN;NaN
"2022-07-06 16:00:00";NaN;NaN;NaN;NaN
"2022-07-06 17:00:00";NaN;1620;390;120
"2022-07-06 18:00:00";NaN;1880;110;130
"2022-07-06 19:00:00";1850;510;80;100
"2022-07-06 20:00:00";NaN;2020;170;100
"2022-07-06 21:00:00";NaN;510;120;90
"2022-07-06 22:00:00";NaN;560;80;120
"2022-07-06 23:00:00";NaN;490;50;90
"2022-07-07 00:00:00";NaN;NaN;390;80
"2022-07-07 01:00:00";NaN;750;90;100
"2022-07-07 02:00:00";NaN;660;100;80
"2022-07-07 03:00:00";NaN;NaN;360;100
"2022-07-07 04:00:00";NaN;400;410;90
"2022-07-07 05:00:00";NaN;390;140;90
"2022-07-07 06:00:00";NaN;440;120;140
"2022-07-07 07:00:00";NaN;480;180;140
"2022-07-07 08:00:00";NaN;NaN;380;190
"2022-07-07 09:00:00";NaN;490;90;360
"2022-07-07 10:00:00";NaN;480;100;420
"2022-07-07 11:00:00";NaN;NaN;490;90
"2022-07-07 12:00:00";NaN;480;90;480
"2022-07-07 13:00:00";NaN;310;60;130
"2022-07-07 14:00:00";NaN;NaN;410;330
"2022-07-07 15:00:00";NaN;NaN;470;450
"2022-07-07 16:00:00";NaN;NaN;540;480
"2022-07-07 17:00:00";NaN;NaN;540;550
"2022-07-07 18:00:00";NaN;480;170;550
"2022-07-07 19:00:00";NaN;610;150;170
"2022-07-07 20:00:00";NaN;620;100;110
"2022-07-07 21:00:00";NaN;600;260;210
"2022-07-07 22:00:00";NaN;640;330;150
"2022-07-07 23:00:00";NaN;470;240;350
"2022-07-08 00:00:00";NaN;NaN;510;400
"2022-07-08 01:00:00";NaN;570;280;260
"2022-07-08 02:00:00";NaN;580;520;260
"2022-07-08 03:00:00";NaN;NaN;NaN;110
"2022-07-08 04:00:00";NaN;820;660;410
"2022-07-08 05:00:00";NaN;NaN;NaN;140
"2022-07-08 06:00:00";NaN;NaN;590;630
"2022-07-08 07:00:00";NaN;NaN;NaN;430
"2022-07-08 08:00:00";NaN;NaN;NaN;220
"2022-07-08 09:00:00";NaN;NaN;300;300
"2022-07-08 10:00:00";NaN;NaN;NaN;310
"2022-07-08 11:00:00";NaN;NaN;NaN;230
"2022-07-08 12:00:00";NaN;NaN;NaN;160
"2022-07-08 13:00:00";NaN;NaN;NaN;NaN
"2022-07-08 14:00:00";NaN;NaN;NaN;NaN
"2022-07-08 15:00:00";870;390;100;110
"2022-07-08 16:00:00";NaN;1050;110;110
"2022-07-08 17:00:00";NaN;1150;100;110
"2022-07-08 18:00:00";NaN;1060;110;100
"2022-07-08 19:00:00";NaN;1040;170;180
"2022-07-08 20:00:00";NaN;1050;110;110
"2022-07-08 21:00:00";NaN;NaN;960;90
"2022-07-08 22:00:00";NaN;820;110;290
"2022-07-08 23:00:00";NaN;990;90;100
"2022-07-09 00:00:00";NaN;1050;90;90
"2022-07-09 01:00:00";NaN;1060;120;100
"2022-07-09 02:00:00";NaN;1150;110;110
"2022-07-09 03:00:00";NaN;1060;100;110
"2022-07-09 04:00:00";NaN;1010;110;100
"2022-07-09 05:00:00";NaN;NaN;950;100
"2022-07-09 06:00:00";NaN;1140;560;950
"2022-07-09 07:00:00";NaN;NaN;NaN;110
"2022-07-09 08:00:00";NaN;NaN;NaN;100
"2022-07-09 09:00:00";NaN;NaN;180;140
"2022-07-09 10:00:00";NaN;NaN;NaN;110
"2022-07-09 11:00:00";NaN;NaN;940;820
"2022-07-09 12:00:00";NaN;1860;1100;100
"2022-07-09 13:00:00";NaN;NaN;NaN;1850
"2022-07-09 14:00:00";NaN;NaN;NaN;NaN
"2022-07-09 15:00:00";NaN;620;200;200
"2022-07-09 16:00:00";NaN;NaN;660;830
"2022-07-09 17:00:00";NaN;NaN;NaN;370
"2022-07-09 18:00:00";NaN;NaN;NaN;NaN
"2022-07-09 19:00:00";NaN;NaN;440;1410
"2022-07-09 20:00:00";NaN;NaN;NaN;1640
"2022-07-09 21:00:00";NaN;NaN;NaN;280
"2022-07-09 22:00:00";NaN;NaN;NaN;780
"2022-07-09 23:00:00";1410;860;110;120
"2022-07-10 00:00:00";NaN;NaN;NaN;800
"2022-07-10 01:00:00";NaN;NaN;760;140
"2022-07-10 02:00:00";NaN;1320;660;170
"2022-07-10 03:00:00";NaN;NaN;700;660
"2022-07-10 04:00:00";NaN;NaN;NaN;190
"2022-07-10 05:00:00";NaN;NaN;NaN;120
"2022-07-10 06:00:00";NaN;940;90;190
"2022-07-10 07:00:00";NaN;NaN;950;80
"2022-07-10 08:00:00";NaN;1250;920;270
"2022-07-10 09:00:00";NaN;1460;640;550
"2022-07-10 10:00:00";NaN;NaN;1500;1090
"2022-07-10 11:00:00";NaN;NaN;240;1480
"2022-07-10 12:00:00";NaN;1960;1260;1270
"2022-07-10 13:00:00";NaN;NaN;NaN;1120
"2022-07-10 14:00:00";NaN;NaN;NaN;270
"2022-07-10 15:00:00";NaN;590;180;190
"2022-07-10 16:00:00";1280;700;250;180
"2022-07-10 17:00:00";NaN;1050;90;240
"2022-07-10 18:00:00";NaN;NaN;NaN;90
"2022-07-10 19:00:00";NaN;NaN;NaN;NaN
"2022-07-10 20:00:00";NaN;NaN;NaN;NaN
"2022-07-10 21:00:00";NaN;NaN;NaN;NaN
"2022-07-10 22:00:00";NaN;NaN;NaN;NaN
"2022-07-10 23:00:00";NaN;NaN;NaN;NaN
"2022-07-11 00:00:00";NaN;NaN;NaN;NaN
"2022-07-11 01:00:00";NaN;NaN;NaN;NaN
"2022-07-11 02:00:00";NaN;2150;100;100
"2022-07-11 03:00:00";NaN;NaN;90;90
"2022-07-11 04:00:00";NaN;1850;90;90
"2022-07-11 05:00:00";NaN;NaN;NaN;220
"2022-07-11 06:00:00";NaN;1380;680;140
"2022-07-11 07:00:00";NaN;1320;280;100
"2022-07-11 08:00:00";1830;1170;390;390
"2022-07-11 09:00:00";NaN;1500;40;400
"2022-07-11 10:00:00";1140;430;110;60
"2022-07-11 11:00:00";NaN;1750;400;410
"2022-07-11 12:00:00";NaN;1750;110;190
"2022-07-11 13:00:00";NaN;NaN;950;120
"2022-07-11 14:00:00";NaN;890;140;110
"2022-07-11 15:00:00";NaN;970;40;120
"2022-07-11 16:00:00";NaN;890;100;840
"2022-07-11 17:00:00";NaN;NaN;810;840
"2022-07-11 18:00:00";NaN;860;150;890
"2022-07-11 19:00:00";NaN;1000;90;NaN
"2022-07-11 20:00:00";860;300;90;90
"2022-07-11 21:00:00";NaN;1280;360;110
"2022-07-11 22:00:00";NaN;NaN;260;350
"2022-07-11 23:00:00";NaN;730;130;190
"2022-07-12 00:00:00";NaN;1100;280;130
"2022-07-12 01:00:00";NaN;960;180;180
"2022-07-12 02:00:00";900;650;180;180
"2022-07-12 03:00:00";NaN;460;190;180
"2022-07-12 04:00:00";NaN;600;140;170
"2022-07-12 05:00:00";NaN;NaN;290;160
"2022-07-12 06:00:00";NaN;370;110;280
"2022-07-12 07:00:00";NaN;NaN;NaN;NaN
"2022-07-12 08:00:00";NaN;410;90;NaN
"2022-07-12 09:00:00";NaN;NaN;120;130
"2022-07-12 10:00:00";NaN;NaN;170;160
"2022-07-12 11:00:00";NaN;280;80;110
"2022-07-12 12:00:00";NaN;NaN;210;110
"2022-07-12 13:00:00";NaN;NaN;410;230
"2022-07-12 14:00:00";NaN;460;110;420
"2022-07-12 15:00:00";NaN;470;420;400
"2022-07-12 16:00:00";NaN;540;130;420
"2022-07-12 17:00:00";NaN;NaN;530;460
"2022-07-12 18:00:00";NaN;630;210;530
"2022-07-12 19:00:00";NaN;600;230;190
