FECHA (YYMMDD);HORA (HHMM);;
120730;0100;;
120730;0200;;
120730;0300;;
120730;0400;;
120730;0500;;
120730;0600;;
120730;0700;;
120730;0800;;
120730;0900;;
120730;1000;;
120730;1100;;
120730;1200;;
120730;1300;;
120730;1400;;
120730;1500;;
120730;1600;252,744;
120730;1700;182,428;
120730;1800;155,651;
120730;1900;125,976;
120730;2000;48,3817;
120730;2100;45,9836;
120730;2200;42,9388;
120730;2300;53,2184;
120731;0000;151,075;
120731;0100;94,5552;
120731;0200;74,7655;
120731;0300;82,1522;
120731;0400;200,06;
120731;0500;68,566;
120731;0600;47,8022;
120731;0700;46,4781;
120731;0800;50,585;
120731;0900;41,8743;
120731;1000;44,5753;
120731;1100;48,5936;
120731;1200;44,1888;
120731;1300;90,8573;
120731;1400;69,8025;
120731;1500;274,812;
120731;1600;260,735;
120731;1700;238,601;
120731;1800;316,169;
120731;1900;295,598;
120731;2000;301,465;
120731;2100;336,084;
120731;2200;73,8687;
120731;2300;3,67933;
120801;0000;204,969;
120801;0100;80,3684;
120801;0200;68,9727;
120801;0300;161,121;
120801;0400;166,658;
120801;0500;186,745;
120801;0600;200,58;
120801;0700;184,441;
120801;0800;168,809;
120801;0900;130,218;
120801;1000;204,121;
120801;1100;137,522;
120801;1200;158,606;
120801;1300;190,659;
120801;1400;203,61;
120801;1500;137,624;
120801;1600;134,772;
120801;1700;190,224;
120801;1800;134,819;
120801;1900;108,826;
120801;2000;99,6299;
120801;2100;111,095;
120801;2200;160,538;
120801;2300;144,331;
120802;0000;170,44;
120802;0100;79,0227;
120802;0200;88,4121;
120802;0300;156,146;
120802;0400;52,7905;
120802;0500;46,5812;
120802;0600;40,7278;
120802;0700;56,266;
120802;0800;47,5167;
120802;0900;49,9514;
120802;1000;95,2451;
120802;1100;130,164;
120802;1200;82,3079;
120802;1300;174,635;
120802;1400;140,193;
120802;1500;135,432;
120802;1600;175,99;
120802;1700;54,4393;
120802;1800;82,9762;
120802;1900;46,5356;
120802;2000;64,058;
120802;2100;62,2145;
120802;2200;53,5049;
120802;2300;49,4589;
120803;0000;56,6082;
120803;0100;44,23;
120803;0200;54,6005;
120803;0300;56,5576;
120803;0400;78,6473;
120803;0500;51,4549;
120803;0600;71,6416;
120803;0700;10,0837;
120803;0800;297,114;
120803;0900;110,812;
120803;1000;110,306;
120803;1100;91,6963;
120803;1200;68,8396;
120803;1300;71,6859;
120803;1400;117,952;
120803;1500;116,723;
120803;1600;103,765;
120803;1700;81,4197;
120803;1800;80,2202;
120803;1900;92,5616;
120803;2000;94,8682;
120803;2100;85,3943;
120803;2200;10,7112;
120803;2300;288,741;
120804;0000;285,973;
120804;0100;44,4673;
120804;0200;243,681;
120804;0300;315,691;
120804;0400;59,9792;
120804;0500;348,334;
120804;0600;61,098;
120804;0700;58,6104;
120804;0800;71,2903;
120804;0900;68,3877;
120804;1000;32,3279;
120804;1100;293,993;
120804;1200;285,097;
120804;1300;274,876;
120804;1400;258,35;
120804;1500;225,484;
120804;1600;212,587;
120804;1700;206,177;
120804;1800;209,275;
120804;1900;215,666;
120804;2000;210,181;
120804;2100;84,2882;
120804;2200;64,3033;
120804;2300;67,761;
120805;0000;343,625;
120805;0100;51,0812;
120805;0200;68,7598;
120805;0300;60,7416;
120805;0400;71,1741;
120805;0500;156,55;
120805;0600;211,371;
120805;0700;24,7495;
120805;0800;48,2726;
120805;0900;59,8523;
120805;1000;33,4703;
120805;1100;283,016;
120805;1200;264,502;
120805;1300;257,574;
120805;1400;257,684;
120805;1500;248,625;
120805;1600;214,612;
120805;1700;211,12;
120805;1800;175,637;
120805;1900;212,178;
120805;2000;228,511;
120805;2100;187,095;
120805;2200;18,1194;
120805;2300;82,1993;
120806;0000;28,2772;
120806;0100;343,931;
120806;0200;80,6841;
120806;0300;86,5547;
120806;0400;237,857;
120806;0500;234,14;
120806;0600;128,515;
120806;0700;54,4319;
120806;0800;57,8198;
120806;0900;89,6959;
120806;1000;297,423;
120806;1100;303,348;
120806;1200;309,49;
120806;1300;290,469;
120806;1400;283,848;
120806;1500;248,984;
120806;1600;256,092;
120806;1700;236,154;
120806;1800;211,578;
120806;1900;200,067;
120806;2000;165,474;
120806;2100;65,9226;
120806;2200;51,323;
120806;2300;81,2024;
120807;0000;57,5726;
120807;0100;105,349;
120807;0200;119,218;
120807;0300;177,182;
120807;0400;180,381;
120807;0500;178,214;
120807;0600;163,982;
120807;0700;132,985;
120807;0800;97,9093;
120807;0900;173,141;
120807;1000;195,009;
120807;1100;215,787;
120807;1200;217,421;
120807;1300;217,521;
120807;1400;219,541;
120807;1500;211,992;
120807;1600;210,918;
120807;1700;210,717;
120807;1800;211,202;
120807;1900;204,809;
120807;2000;191,729;
120807;2100;128,959;
120807;2200;51,3014;
120807;2300;34,2588;
120808;0000;51,5168;
120808;0100;46,8161;
120808;0200;223,02;
120808;0300;70,108;
120808;0400;340,599;
120808;0500;242,863;
120808;0600;76,8359;
120808;0700;62,913;
120808;0800;71,1923;
120808;0900;96,6687;
120808;1000;261,895;
120808;1100;219,727;
120808;1200;210,344;
120808;1300;220,16;
120808;1400;215,311;
120808;1500;215,91;
120808;1600;215,564;
120808;1700;218,58;
120808;1800;169,331;
120808;1900;41,9858;
120808;2000;46,7949;
120808;2100;37,3882;
120808;2200;38,3256;
120808;2300;54,1526;
120809;0000;112,877;
120809;0100;50,1377;
120809;0200;;
120809;0300;;
120809;0400;;
120809;0500;;
120809;0600;;
120809;0700;;
120809;0800;199,44;
120809;0900;219,237;
120809;1000;212,501;
120809;1100;207,062;
120809;1200;218,769;
120809;1300;233,53;
120809;1400;230,243;
120809;1500;212,478;
120809;1600;209,69;
120809;1700;244,769;
120809;1800;253,338;
120809;1900;239,254;
120809;2000;269,555;
120809;2100;239,364;
120809;2200;203,428;
120809;2300;121,677;
120810;0000;193,522;
120810;0100;195,986;
120810;0200;161,735;
120810;0300;191,822;
120810;0400;178,247;
120810;0500;197,79;
120810;0600;205,032;
120810;0700;200,23;
120810;0800;199,636;
120810;0900;210,352;
120810;1000;246,134;
120810;1100;255,885;
120810;1200;240,261;
120810;1300;215,923;
120810;1400;217,336;
120810;1500;216,463;
120810;1600;216,585;
120810;1700;209,159;
120810;1800;205,524;
120810;1900;200,037;
120810;2000;196,073;
120810;2100;218,893;
