FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170831;0100;;;;
170831;0200;;;;
170831;0300;;;;
170831;0400;;;;
170831;0500;;;;
170831;0600;;;;
170831;0700;;;;
170831;0800;;;;
170831;0900;;;;
170831;1000;;;;
170831;1100;;;;
170831;1200;;;;
170831;1300;;;;
170831;1400;;;;
170831;1500;;;;
170831;1600;;;;
170831;1700;;;0,01615;
170831;1800;;;0,016;
170831;1900;;;0,016;
170831;2000;;;0,016;
170831;2100;;;0,016;
170831;2200;;;0,016;
170831;2300;;;0,016;
170901;0000;;;0,016;
170901;0100;;;0,016;
170901;0200;;;0,016;
170901;0300;;;0,016;
170901;0400;;;0,016;
170901;0500;;;0,016;
170901;0600;;;0,016;
170901;0700;;;0,016;
170901;0800;;;0,016;
170901;0900;;;0,016;
170901;1000;;;0,016;
170901;1100;;;0,016;
170901;1200;;;0,016;
170901;1300;;;0,016;
170901;1400;;;;
170901;1500;;;;
170901;1600;;;0,005;
170901;1700;;;0,005;
170901;1800;;;0,005;
170901;1900;;;0,005;
170901;2000;;;0,005;
170901;2100;;;0,005;
170901;2200;;;0,005;
170901;2300;;;0,005;
170902;0000;;;0,005;
170902;0100;;;0,005;
170902;0200;;;0,005;
170902;0300;;;0,005;
170902;0400;;;0,005;
170902;0500;;;0,005;
170902;0600;;;0,005;
170902;0700;;;0,005;
170902;0800;;;0,005;
170902;0900;;;0,005;
170902;1000;;;0,005;
170902;1100;;;0,005;
170902;1200;;;0,005;
170902;1300;;;0,005;
170902;1400;;;0,005;
170902;1500;;;0,005;
170902;1600;;;0,005;
170902;1700;;;0,005;
170902;1800;;;0,005;
170902;1900;;;0,005;
170902;2000;;;0,005;
170902;2100;;;0,005;
170902;2200;;;0,005;
170902;2300;;;0,005;
170903;0000;;;0,005;
170903;0100;;;0,005;
170903;0200;;;0,005;
170903;0300;;;0,005;
170903;0400;;;0,005;
170903;0500;;;0,005;
170903;0600;;;0,005;
170903;0700;;;0,005;
170903;0800;;;0,005;
170903;0900;;;0,005;
170903;1000;;;0,005;
170903;1100;;;0,005;
170903;1200;;;0,005;
170903;1300;;;0,005;
170903;1400;;;0,005;
170903;1500;;;0,005;
170903;1600;;;0,005;
170903;1700;;;0,005;
170903;1800;;;0,005;
170903;1900;;;0,005;
170903;2000;;;0,005;
170903;2100;;;0,005;
170903;2200;;;0,005;
170903;2300;;;0,005;
170904;0000;;;0,005;
170904;0100;;;0,005;
170904;0200;;;0,005;
170904;0300;;;0,005;
170904;0400;;;0,00500001;
170904;0500;;;0,00500001;
170904;0600;;;0,00500001;
170904;0700;;;0,005;
170904;0800;;;0,005;
170904;0900;;;0,005;
170904;1000;;;0,005;
170904;1100;;;0,005;
170904;1200;;;0,005;
170904;1300;;;0,005;
170904;1400;;;0,005;
170904;1500;;;0,005;
170904;1600;;;0,005;
170904;1700;;;0,005;
170904;1800;;;0,005;
170904;1900;;;0,005;
170904;2000;;;0,005;
170904;2100;;;0,005;
170904;2200;;;0,005;
170904;2300;;;0,005;
170905;0000;;;0,005;
170905;0100;;;0,005;
170905;0200;;;0,005;
170905;0300;;;0,005;
170905;0400;;;0,005;
170905;0500;;;0,005;
170905;0600;;;0,005;
170905;0700;;;0,005;
170905;0800;;;0,005;
170905;0900;;;0,005;
170905;1000;;;0,005;
170905;1100;;;0,005;
170905;1200;;;0,005;
170905;1300;;;0,005;
170905;1400;;;0,005;
170905;1500;;;0,005;
170905;1600;;;0,005;
170905;1700;;;0,005;
170905;1800;;;0,005;
170905;1900;;;0,005;
170905;2000;;;0,005;
170905;2100;;;0,005;
170905;2200;;;0,005;
170905;2300;;;0,005;
170906;0000;;;0,005;
170906;0100;;;0,005;
170906;0200;;;0,005;
170906;0300;;;0,005;
170906;0400;;;0,005;
170906;0500;;;0,005;
170906;0600;;;0,005;
170906;0700;;;0,005;
170906;0800;;;0,005;
170906;0900;;;0,005;
170906;1000;;;0,00500001;
170906;1100;;;0,00500001;
170906;1200;;;0,00500001;
170906;1300;;;0,005;
170906;1400;;;0,005;
170906;1500;;;0,005;
170906;1600;;;0,005;
170906;1700;;;0,005;
170906;1800;;;0,005;
170906;1900;;;0,005;
170906;2000;;;0,005;
170906;2100;;;0,005;
170906;2200;;;0,005;
170906;2300;;;0,005;
170907;0000;;;0,005;
170907;0100;;;0,005;
170907;0200;;;0,005;
170907;0300;;;0,005;
170907;0400;;;0,005;
170907;0500;;;0,005;
170907;0600;;;0,0575167;
170907;0700;;;0,005;
170907;0800;;;0,005;
170907;0900;;;0,005;
170907;1000;;;0,005;
170907;1100;;;0,005;
170907;1200;;;;
170907;1300;;;;
170907;1400;;;0,016;
170907;1500;;;0,016;
170907;1600;;;0,016;
170907;1700;;;0,016;
170907;1800;;;0,016;
170907;1900;;;0,016;
170907;2000;;;0,016;
170907;2100;;;0,016;
170907;2200;;;0,016;
170907;2300;;;0,016;
170908;0000;;;0,016;
170908;0100;;;0,016;
170908;0200;;;0,016;
170908;0300;;;0,016;
170908;0400;;;0,016;
170908;0500;;;0,016;
170908;0600;;;0,016;
170908;0700;;;0,016;
170908;0800;;;0,016;
170908;0900;;;0,016;
170908;1000;;;0,016;
170908;1100;;;0,016;
170908;1200;;;0,016;
170908;1300;;;0,016;
170908;1400;;;0,016;
170908;1500;;;0,016;
170908;1600;;;0,016;
170908;1700;;;0,016;
170908;1800;;;0,016;
170908;1900;;;0,016;
170908;2000;;;0,016;
170908;2100;;;0,016;
170908;2200;;;0,016;
170908;2300;;;0,016;
170909;0000;;;0,016;
170909;0100;;;0,016;
170909;0200;;;0,016;
170909;0300;;;0,016;
170909;0400;;;0,016;
170909;0500;;;0,016;
170909;0600;;;0,016;
170909;0700;;;0,016;
170909;0800;;;0,016;
170909;0900;;;0,016;
170909;1000;;;0,016;
170909;1100;;;0,016;
170909;1200;;;0,016;
170909;1300;;;0,016;
170909;1400;;;0,016;
170909;1500;;;0,016;
170909;1600;;;0,016;
170909;1700;;;0,016;
170909;1800;;;0,016;
170909;1900;;;0,016;
170909;2000;;;0,016;
170909;2100;;;0,016;
170909;2200;;;0,016;
170909;2300;;;0,016;
170910;0000;;;0,016;
170910;0100;;;0,016;
170910;0200;;;0,016;
170910;0300;;;0,016;
170910;0400;;;0,016;
170910;0500;;;0,016;
170910;0600;;;0,016;
170910;0700;;;0,016;
170910;0800;;;0,016;
170910;0900;;;0,016;
170910;1000;;;0,016;
170910;1100;;;0,016;
170910;1200;;;0,016;
170910;1300;;;0,016;
170910;1400;;;0,016;
170910;1500;;;0,016;
170910;1600;;;0,016;
170910;1700;;;0,016;
170910;1800;;;0,016;
170910;1900;;;0,016;
170910;2000;;;0,016;
170910;2100;;;0,016;
170910;2200;;;0,016;
170910;2300;;;0,016;
170911;0000;;;0,016;
170911;0100;;;0,016;
170911;0200;;;0,016;
170911;0300;;;0,016;
170911;0400;;;0,016;
170911;0500;;;0,016;
170911;0600;;;0,016;
170911;0700;;;0,016;
170911;0800;;;0,016;
170911;0900;;;0,016;
170911;1000;;;0,016;
170911;1100;;;0,016;
170911;1200;;;0,016;
170911;1300;;;0,016;
170911;1400;;;0,016;
170911;1500;;;0,016;
170911;1600;;;0,016;
170911;1700;;;0,016;
170911;1800;;;0,016;
170911;1900;;;0,016;
170911;2000;;;0,016;
170911;2100;;;0,016;
170911;2200;;;0,016;
170911;2300;;;0,016;
170912;0000;;;0,016;
170912;0100;;;0,016;
170912;0200;;;0,016;
170912;0300;;;0,016;
170912;0400;;;0,016;
170912;0500;;;0,016;
170912;0600;;;0,016;
170912;0700;;;0,016;
170912;0800;;;0,016;
170912;0900;;;0,016;
170912;1000;;;0,016;
170912;1100;;;0,016;
170912;1200;;;0,016;
170912;1300;;;0,016;
170912;1400;;;0,016;
170912;1500;;;0,016;
170912;1600;;;0,016;
170912;1700;;;0,016;
170912;1800;;;0,016;
170912;1900;;;0,016;
170912;2000;;;0,016;
170912;2100;;;0,016;
170912;2200;;;0,016;
170912;2300;;;0,016;
170913;0000;;;0,016;
170913;0100;;;0,016;
170913;0200;;;0,016;
170913;0300;;;0,016;
170913;0400;;;0,016;
170913;0500;;;0,016;
170913;0600;;;0,016;
170913;0700;;;0,016;
170913;0800;;;0,016;
170913;0900;;;0,016;
170913;1000;;;0,016;
170913;1100;;;0,016;
170913;1200;;;0,016;
170913;1300;;;0,016;
170913;1400;;;0,016;
170913;1500;;;0,123067;
170913;1600;;;0,016;
170913;1700;;;0,016;
170913;1800;;;0,016;
170913;1900;;;0,016;
170913;2000;;;0,016;
170913;2100;;;0,016;
170913;2200;;;0,016;
170913;2300;;;0,016;
170914;0000;;;0,016;
170914;0100;;;0,016;
170914;0200;;;0,016;
170914;0300;;;0,016;
170914;0400;;;0,016;
170914;0500;;;0,016;
170914;0600;;;0,016;
170914;0700;;;0,016;
170914;0800;;;0,016;
170914;0900;;;0,016;
170914;1000;;;0,016;
170914;1100;;;0,016;
170914;1200;;;0,016;
170914;1300;;;0,016;
170914;1400;;;0,016;
170914;1500;;;;
170914;1600;;;0,016;
170914;1700;;;0,016;
170914;1800;;;0,016;
170914;1900;;;0,016;
170914;2000;;;0,016;
170914;2100;;;0,016;
170914;2200;;;0,016;
170914;2300;;;0,016;
170915;0000;;;0,016;
170915;0100;;;0,016;
170915;0200;;;0,016;
170915;0300;;;0,016;
170915;0400;;;0,016;
170915;0500;;;0,016;
170915;0600;;;0,016;
170915;0700;;;0,016;
170915;0800;;;0,016;
170915;0900;;;0,016;
170915;1000;;;0,016;
170915;1100;;;0,016;
170915;1200;;;0,016;
170915;1300;;;0,016;
170915;1400;;;0,016;
170915;1500;;;0,016;
170915;1600;;;0,016;
170915;1700;;;0,016;
170915;1800;;;0,016;
170915;1900;;;0,016;
170915;2000;;;0,016;
170915;2100;;;0,016;
170915;2200;;;0,016;
170915;2300;;;0,016;
170916;0000;;;0,016;
170916;0100;;;0,016;
170916;0200;;;0,016;
170916;0300;;;0,016;
170916;0400;;;0,016;
170916;0500;;;0,016;
170916;0600;;;0,016;
170916;0700;;;0,016;
170916;0800;;;0,016;
170916;0900;;;0,07285;
170916;1000;;;0,016;
170916;1100;;;0,016;
170916;1200;;;0,016;
170916;1300;;;0,016;
170916;1400;;;0,016;
170916;1500;;;;
170916;1600;;;;
170916;1700;;;;
170916;1800;;;;
170916;1900;;;;
170916;2000;;;0,016;
170916;2100;;;0,016;
170916;2200;;;0,016;
170916;2300;;;0,016;
170917;0000;;;0,016;
170917;0100;;;0,016;
170917;0200;;;0,016;
170917;0300;;;0,016;
170917;0400;;;0,016;
170917;0500;;;0,016;
170917;0600;;;0,016;
170917;0700;;;0,016;
170917;0800;;;0,016;
170917;0900;;;0,016;
170917;1000;;;0,016;
170917;1100;;;0,016;
170917;1200;;;0,016;
170917;1300;;;0,016;
170917;1400;;;0,016;
170917;1500;;;0,016;
170917;1600;;;0,016;
170917;1700;;;0,016;
170917;1800;;;0,016;
170917;1900;;;0,016;
170917;2000;;;0,016;
170917;2100;;;0,016;
170917;2200;;;0,016;
170917;2300;;;0,016;
170918;0000;;;0,016;
170918;0100;;;0,016;
170918;0200;;;0,016;
170918;0300;;;0,016;
170918;0400;;;0,016;
170918;0500;;;0,016;
170918;0600;;;0,016;
170918;0700;;;0,016;
170918;0800;;;0,016;
170918;0900;;;0,016;
170918;1000;;;0,016;
170918;1100;;;0,016;
170918;1200;;;0,016;
170918;1300;;;0,016;
170918;1400;;;0,016;
170918;1500;;;0,016;
170918;1600;;;0,016;
170918;1700;;;0,016;
170918;1800;;;0,016;
170918;1900;;;0,016;
170918;2000;;;0,016;
170918;2100;;;0,016;
170918;2200;;;0,016;
170918;2300;;;0,016;
170919;0000;;;0,016;
170919;0100;;;0,016;
170919;0200;;;0,016;
170919;0300;;;0,016;
170919;0400;;;0,016;
170919;0500;;;0,016;
170919;0600;;;0,016;
170919;0700;;;0,016;
170919;0800;;;0,016;
170919;0900;;;0,016;
170919;1000;;;0,016;
170919;1100;;;0,016;
170919;1200;;;0,016;
170919;1300;;;0,016;
170919;1400;;;0,016;
170919;1500;;;0,016;
170919;1600;;;0,016;
