FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
170901;0100;;;1,90077;
170901;0200;;;1,9029;
170901;0300;;;1,88957;
170901;0400;;;1,89032;
170901;0500;;;1,88522;
170901;0600;;;1,90413;
170901;0700;;;1,90527;
170901;0800;;;1,90178;
170901;0900;;;1,88927;
170901;1000;;;1,88868;
170901;1100;;;1,89143;
170901;1200;;;1,89187;
170901;1300;;;1,89018;
170901;1400;;;;
170901;1500;;;;
170901;1600;;;1,85923;
170901;1700;;;1,8593;
170901;1800;;;1,8634;
170901;1900;;;1,86655;
170901;2000;;;1,90738;
170901;2100;;;1,91262;
170901;2200;;;1,9066;
170901;2300;;;1,87752;
170902;0000;;;1,87747;
170902;0100;;;1,86192;
170902;0200;;;1,88827;
170902;0300;;;1,86418;
170902;0400;;;1,85243;
170902;0500;;;1,8479;
170902;0600;;;1,84793;
170902;0700;;;1,90332;
170902;0800;;;1,91967;
170902;0900;;;1,88318;
170902;1000;;;1,89618;
170902;1100;;;1,89908;
170902;1200;;;1,87312;
170902;1300;;;1,86623;
170902;1400;;;1,85867;
170902;1500;;;1,85085;
170902;1600;;;1,84778;
170902;1700;;;1,84568;
170902;1800;;;1,84465;
170902;1900;;;1,84557;
170902;2000;;;1,87237;
170902;2100;;;1,87037;
170902;2200;;;1,86568;
170902;2300;;;1,8585;
170903;0000;;;1,86463;
170903;0100;;;1,84587;
170903;0200;;;1,88697;
170903;0300;;;1,9115;
170903;0400;;;1,86998;
170903;0500;;;1,89108;
170903;0600;;;1,86933;
170903;0700;;;1,90687;
170903;0800;;;1,87405;
170903;0900;;;1,87915;
170903;1000;;;1,90318;
170903;1100;;;1,88957;
170903;1200;;;1,88193;
170903;1300;;;1,89275;
170903;1400;;;1,87175;
170903;1500;;;1,88007;
170903;1600;;;1,86828;
170903;1700;;;1,86328;
170903;1800;;;1,85605;
170903;1900;;;1,8765;
170903;2000;;;1,87885;
170903;2100;;;1,8542;
170903;2200;;;1,84725;
170903;2300;;;1,8613;
170904;0000;;;1,86728;
170904;0100;;;1,88342;
170904;0200;;;1,8875;
170904;0300;;;1,8639;
170904;0400;;;1,8627;
170904;0500;;;1,91213;
170904;0600;;;1,8698;
170904;0700;;;1,89653;
170904;0800;;;1,91225;
170904;0900;;;1,92467;
170904;1000;;;1,89563;
170904;1100;;;1,89785;
170904;1200;;;1,90545;
170904;1300;;;1,9117;
170904;1400;;;1,88965;
170904;1500;;;1,86183;
170904;1600;;;1,84685;
170904;1700;;;1,84465;
170904;1800;;;1,8431;
170904;1900;;;1,85768;
170904;2000;;;1,87267;
170904;2100;;;1,86868;
170904;2200;;;1,8741;
170904;2300;;;1,852;
170905;0000;;;1,85722;
170905;0100;;;1,89567;
170905;0200;;;1,9611;
170905;0300;;;1,91662;
170905;0400;;;1,87835;
170905;0500;;;1,88972;
170905;0600;;;1,88308;
170905;0700;;;1,88522;
170905;0800;;;1,88387;
170905;0900;;;1,9262;
170905;1000;;;1,93212;
170905;1100;;;1,95222;
170905;1200;;;1,87767;
170905;1300;;;1,8646;
170905;1400;;;1,8627;
170905;1500;;;1,85613;
170905;1600;;;1,84518;
170905;1700;;;1,83763;
170905;1800;;;1,84115;
170905;1900;;;1,84105;
170905;2000;;;1,85645;
170905;2100;;;1,84372;
170905;2200;;;1,85315;
170905;2300;;;1,84812;
170906;0000;;;1,86055;
170906;0100;;;1,86435;
170906;0200;;;1,87025;
170906;0300;;;1,89023;
170906;0400;;;1,88623;
170906;0500;;;1,84845;
170906;0600;;;1,85342;
170906;0700;;;1,85548;
170906;0800;;;1,84287;
170906;0900;;;1,85025;
170906;1000;;;1,84828;
170906;1100;;;1,81575;
170906;1200;;;1,83562;
170906;1300;;;1,85218;
170906;1400;;;1,85933;
170906;1500;;;1,84653;
170906;1600;;;1,83173;
170906;1700;;;1,82747;
170906;1800;;;1,82592;
170906;1900;;;1,83138;
170906;2000;;;1,85312;
170906;2100;;;1,84313;
170906;2200;;;1,82097;
170906;2300;;;1,82035;
170907;0000;;;1,8723;
170907;0100;;;1,84192;
170907;0200;;;1,87783;
170907;0300;;;1,8556;
170907;0400;;;1,84433;
170907;0500;;;1,8383;
170907;0600;;;1,88775;
170907;0700;;;1,84077;
170907;0800;;;1,84068;
170907;0900;;;1,836;
170907;1000;;;1,82778;
170907;1100;;;1,82643;
170907;1200;;;;
170907;1300;;;;
170907;1400;;;1,90032;
170907;1500;;;1,8965;
170907;1600;;;1,88692;
170907;1700;;;1,88677;
170907;1800;;;1,88503;
170907;1900;;;1,88152;
170907;2000;;;1,87717;
170907;2100;;;1,87688;
170907;2200;;;1,87887;
170907;2300;;;1,89223;
170908;0000;;;1,90688;
170908;0100;;;1,91082;
170908;0200;;;1,92763;
170908;0300;;;1,91922;
170908;0400;;;1,93265;
170908;0500;;;1,89642;
170908;0600;;;1,88908;
