FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130101;0100;;8,106;;
130101;0200;;5,40404;;
130101;0300;;4,50335;;
130101;0400;;4,3032;;
130101;0500;;3,10231;;
130101;0600;;2,30171;;
130101;0700;;1,90141;;
130101;0800;;0,900669;;
130101;0900;;0,478723;;
130101;1000;;0,478723;;
130101;1100;;0,478723;;
130101;1200;;0,478723;;
130101;1300;;0,478723;;
130101;1400;;0,478723;;
130101;1500;;0,478723;;
130101;1600;;0,478723;;
130101;1700;;0,478723;;
130101;1800;;0,478723;;
130101;1900;;0,600447;;
130101;2000;;1,10082;;
130101;2100;;0,478723;;
130101;2200;;0,478723;;
130101;2300;;0,500372;;
130102;0000;;4,10305;;
130102;0100;;7,60564;;
130102;0200;;13,41;;
130102;0300;;6,20463;;
130102;0400;;4,50335;;
130102;0500;;4,20312;;
130102;0600;;;;
130102;0700;;;;
130102;0800;;;;
130102;0900;;;;
130102;1000;;;;
130102;1100;;;;
130102;1200;;;;
130102;1300;;;;
130102;1400;;;;
130102;1500;;;;
130102;1600;;;;
130102;1700;;;;
130102;1800;;;;
130102;1900;;;;
130102;2000;;;;
130102;2100;;;;
130102;2200;;;;
130102;2300;;;;
130103;0000;;;;
130103;0100;;;;
130103;0200;;;;
130103;0300;;;;
130103;0400;;;;
130103;0500;;;;
130103;0600;;;;
130103;0700;;;;
130103;0800;;;;
130103;0900;;;;
130103;1000;;0,900669;;
130103;1100;;3,50261;;
130103;1200;;0,478723;;
130103;1300;;0,478723;;
130103;1400;;1,40104;;
130103;1500;;2,90216;;
130103;1600;;2,30171;;
130103;1700;;1,40104;;
130103;1800;;0,478723;;
130103;1900;;2,70201;;
130103;2000;;3,30246;;
130103;2100;;8,40627;;
130103;2200;;3,9029;;
130103;2300;;0,700521;;
130104;0000;;2,90216;;
130104;0100;;7,10526;;
130104;0200;;7,30543;;
130104;0300;;4,00298;;
130104;0400;;3,40253;;
130104;0500;;2,50186;;
130104;0600;;2,20164;;
130104;0700;;5,00372;;
130104;0800;;5,70425;;
130104;0900;;3,70276;;
130104;1000;;3,40253;;
130104;1100;;0,478723;;
130104;1200;;1,60119;;
130104;1300;;0,500372;;
130104;1400;;0,800595;;
130104;1500;;0,478723;;
130104;1600;;0,478723;;
130104;1700;;0,478723;;
130104;1800;;0,478723;;
130104;1900;;0,478723;;
130104;2000;;2,00149;;
130104;2100;;5,20387;;
130104;2200;;6,80505;;
130104;2300;;9,0067;;
130105;0000;;6,50484;;
130105;0100;;4,10305;;
130105;0200;;3,60268;;
130105;0300;;3,30246;;
130105;0400;;3,00223;;
130105;0500;;4,00298;;
130105;0600;;3,80283;;
130105;0700;;3,60268;;
130105;0800;;6,90516;;
130105;0900;;5,5041;;
130105;1000;;2,10156;;
