FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130101;0100;;0,899176;;
130101;0200;;0,899176;;
130101;0300;;4,19846;;
130101;0400;;0,381679;;
130101;0500;;0,899176;;
130101;0600;;1,1989;;
130101;0700;;1,69844;;
130101;0800;;1,79835;;
130101;0900;;1,49863;;
130101;1000;;0,899176;;
130101;1100;;0,799267;;
130101;1200;;0,899176;;
130101;1300;;0,699359;;
130101;1400;;0,699359;;
130101;1500;;0,799267;;
130101;1600;;0,799267;;
130101;1700;;0,499542;;
130101;1800;;0,399634;;
130101;1900;;0,499542;;
130101;2000;;0,499542;;
130101;2100;;0,499542;;
130101;2200;;0,599449;;
130101;2300;;0,599449;;
130102;0000;;1,99817;;
130102;0100;;5,09534;;
130102;0200;;9,19156;;
130102;0300;;3,89641;;
130102;0400;;2,3978;;
130102;0500;;1,89826;;
130102;0600;;;;
130102;0700;;;;
130102;0800;;;;
130102;0900;;;;
130102;1000;;;;
130102;1100;;;;
130102;1200;;;;
130102;1300;;;;
130102;1400;;;;
130102;1500;;;;
130102;1600;;;;
130102;1700;;;;
130102;1800;;;;
130102;1900;;;;
130102;2000;;;;
130102;2100;;;;
130102;2200;;;;
130102;2300;;;;
130103;0000;;;;
130103;0100;;;;
130103;0200;;;;
130103;0300;;;;
130103;0400;;;;
130103;0500;;;;
130103;0600;;;;
130103;0700;;;;
130103;0800;;;;
130103;0900;;1,49863;;
130103;1000;;0,799267;;
130103;1100;;0,399634;;
130103;1200;;0,499542;;
130103;1300;;0,399634;;
130103;1400;;1,79835;;
130103;1500;;4,39594;;
130103;1600;;5,9945;;
130103;1700;;2,79744;;
130103;1800;;1,1989;;
130103;1900;;1,89826;;
130103;2000;;1,89826;;
130103;2100;;3,99634;;
130103;2200;;1,89826;;
130103;2300;;0,799267;;
130104;0000;;1,69844;;
130104;0100;;4,8955;;
130104;0200;;3,89641;;
130104;0300;;1,69844;;
130104;0400;;0,899176;;
130104;0500;;0,899176;;
130104;0600;;0,399634;;
130104;0700;;4,39594;;
130104;0800;;21,5802;;
130104;0900;;7,09351;;
130104;1000;;3,99634;;
130104;1100;;1,79835;;
130104;1200;;2,29789;;
130104;1300;;1,09899;;
130104;1400;;0,799267;;
130104;1500;;0,599449;;
130104;1600;;0,381679;;
130104;1700;;0,381679;;
130104;1800;;0,381679;;
130104;1900;;0,381679;;
130104;2000;;0,381679;;
130104;2100;;1,59853;;
130104;2200;;3,5967;;
130104;2300;;2,79744;;
130105;0000;;2,89734;;
130105;0100;;1,39872;;
130105;0200;;1,09899;;
130105;0300;;1,59853;;
130105;0400;;1,49863;;
130105;0500;;2,09808;;
130105;0600;;2,29789;;
130105;0700;;2,89734;;
130105;0800;;36,8661;;
130105;0900;;31,5711;;
130105;1000;;9,79102;;
130105;1100;;3,5967;;
130105;1200;;2,59762;;
130105;1300;;1,69844;;
130105;1400;;0,899176;;
130105;1500;;0,999084;;
130105;1600;;0,799267;;
130105;1700;;0,799267;;
130105;1800;;0,499542;;
130105;1900;;1,59853;;
130105;2000;;5,09534;;
130105;2100;;1,99817;;
130105;2200;;3,49679;;
130105;2300;;4,29607;;
130106;0000;;2,69753;;
130106;0100;;4,29607;;
130106;0200;;3,99634;;
130106;0300;;5,79469;;
