FECHA (YYMMDD);HORA (HHMM);;
130101;0100;18,2;
130101;0200;35,5;
130101;0300;53,6;
130101;0400;24,1;
130101;0500;353,7;
130101;0600;349,8;
130101;0700;10,7;
130101;0800;4,8;
130101;0900;9,5;
130101;1000;4,8;
130101;1100;339,1;
130101;1200;332,1;
130101;1300;341,6;
130101;1400;332,7;
130101;1500;323,7;
130101;1600;338,7;
130101;1700;315,7;
130101;1800;287,4;
130101;1900;313,8;
130101;2000;307,1;
130101;2100;312,9;
130101;2200;51,7;
130101;2300;8,2;
130102;0000;310,6;
130102;0100;283,4;
130102;0200;265,7;
130102;0300;256,5;
130102;0400;259,1;
130102;0500;246,2;
130102;0600;261,7;
130102;0700;;
130102;0800;;
130102;0900;;
130102;1000;;
130102;1100;;
130102;1200;;
130102;1300;;
130102;1400;;
130102;1500;;
130102;1600;;
130102;1700;;
130102;1800;;
130102;1900;;
130102;2000;;
130102;2100;;
130102;2200;;
130102;2300;;
130103;0000;;
130103;0100;;
130103;0200;;
130103;0300;;
130103;0400;;
130103;0500;;
130103;0600;;
130103;0700;;
130103;0800;254,5;
130103;0900;257,5;
130103;1000;256,5;
130103;1100;303,4;
130103;1200;292,2;
130103;1300;280,4;
130103;1400;240,1;
130103;1500;242,9;
130103;1600;244,9;
130103;1700;260;
130103;1800;257,3;
130103;1900;260,7;
130103;2000;243;
130103;2100;219,2;
130103;2200;212,6;
130103;2300;175,2;
130104;0000;224,4;
130104;0100;227,8;
130104;0200;271,1;
130104;0300;301;
130104;0400;290,2;
130104;0500;102,3;
130104;0600;82,7999;
130104;0700;83,2;
130104;0800;255;
130104;0900;255,9;
130104;1000;254,4;
130104;1100;256,8;
130104;1200;261,4;
130104;1300;256,8;
130104;1400;242,5;
130104;1500;237,8;
130104;1600;242,2;
130104;1700;238,6;
130104;1800;236,6;
130104;1900;231,6;
130104;2000;239,7;
130104;2100;250,6;
130104;2200;219,8;
130104;2300;78,8999;
130105;0000;27,3;
130105;0100;34,3;
130105;0200;80,7;
130105;0300;75,2999;
130105;0400;83,7;
130105;0500;76,6;
130105;0600;73,3999;
130105;0700;79,6;
130105;0800;235,7;
130105;0900;256,7;
130105;1000;264;
130105;1100;269,3;
130105;1200;259,3;
130105;1300;254,2;
130105;1400;256,1;
130105;1500;242,3;
130105;1600;240;
130105;1700;241,7;
130105;1800;235,5;
130105;1900;233,2;
130105;2000;250,5;
130105;2100;270,7;
130105;2200;233,7;
130105;2300;301,3;
130106;0000;19,1;
130106;0100;258,3;
130106;0200;238,6;
130106;0300;220;
130106;0400;200,1;
130106;0500;264,9;
130106;0600;277,2;
130106;0700;293,4;
130106;0800;257,3;
130106;0900;275,3;
130106;1000;248,7;
130106;1100;254,4;
130106;1200;249,5;
130106;1300;251,8;
130106;1400;259,8;
130106;1500;237,1;
130106;1600;242,7;
130106;1700;245,8;
130106;1800;252,4;
130106;1900;233;
130106;2000;207,5;
130106;2100;260,1;
130106;2200;215,1;
130106;2300;23,3;
130107;0000;335,2;
130107;0100;118,9;
130107;0200;135,2;
130107;0300;85,1;
130107;0400;37,3;
130107;0500;348,3;
130107;0600;63,3;
130107;0700;7,7;
130107;0800;264,7;
130107;0900;268,5;
130107;1000;262,5;
130107;1100;259,1;
130107;1200;257,8;
130107;1300;250,9;
130107;1400;255,4;
130107;1500;266;
130107;1600;263,4;
130107;1700;260,1;
130107;1800;244,6;
130107;1900;239,5;
130107;2000;248,1;
130107;2100;232,4;
130107;2200;239,4;
130107;2300;230,9;
130108;0000;228,2;
130108;0100;228,4;
130108;0200;225,5;
130108;0300;232;
130108;0400;349,5;
130108;0500;13,7;
130108;0600;39,5;
130108;0700;31,2;
130108;0800;5,39999;
130108;0900;346,8;
130108;1000;334,5;
130108;1100;261,7;
130108;1200;262,8;
130108;1300;255,7;
130108;1400;258,1;
130108;1500;258;
130108;1600;267,4;
130108;1700;268,4;
130108;1800;293,4;
130108;1900;10,6;
130108;2000;0,3;
130108;2100;343,9;
130108;2200;312,5;
130108;2300;15,8;
130109;0000;19,4;
130109;0100;21,1;
130109;0200;23,2;
130109;0300;25,4;
130109;0400;18,6;
130109;0500;9,59999;
130109;0600;10,3;
130109;0700;21,4;
130109;0800;0,5;
130109;0900;355,1;
130109;1000;0,799999;
130109;1100;347,6;
130109;1200;333,5;
130109;1300;271,1;
130109;1400;256,8;
130109;1500;;
130109;1600;;
130109;1700;;
130109;1800;;
130109;1900;;
130109;2000;;
130109;2100;;
