FECHA (YYMMDD);HORA (HHMM);;
130101;0100;1,6;
130101;0200;1,4;
130101;0300;0,7;
130101;0400;0,799999;
130101;0500;1,6;
130101;0600;1,6;
130101;0700;1,7;
130101;0800;1,9;
130101;0900;2,2;
130101;1000;2,5;
130101;1100;3,2;
130101;1200;4,3;
130101;1300;4,5;
130101;1400;3,7;
130101;1500;3,4;
130101;1600;2,8;
130101;1700;2,5;
130101;1800;2,8;
130101;1900;1,7;
130101;2000;1,2;
130101;2100;0,7;
130101;2200;0,5;
130101;2300;0,7;
130102;0000;0,799999;
130102;0100;1,3;
130102;0200;1,8;
130102;0300;1,7;
130102;0400;1,5;
130102;0500;1,1;
130102;0600;1,2;
130102;0700;;
130102;0800;;
130102;0900;;
130102;1000;;
130102;1100;;
130102;1200;;
130102;1300;;
130102;1400;;
130102;1500;;
130102;1600;;
130102;1700;;
130102;1800;;
130102;1900;;
130102;2000;;
130102;2100;;
130102;2200;;
130102;2300;;
130103;0000;;
130103;0100;;
130103;0200;;
130103;0300;;
130103;0400;;
130103;0500;;
130103;0600;;
130103;0700;;
130103;0800;1,2;
130103;0900;0,9;
130103;1000;1,8;
130103;1100;2,6;
130103;1200;3,4;
130103;1300;2,8;
130103;1400;2,8;
130103;1500;2,9;
130103;1600;2,8;
130103;1700;2,8;
130103;1800;3,1;
130103;1900;2,3;
130103;2000;1,9;
130103;2100;1,3;
130103;2200;0,799999;
130103;2300;0,5;
130104;0000;0,799999;
130104;0100;0,9;
130104;0200;0,2;
130104;0300;0,799999;
130104;0400;0,7;
130104;0500;0,7;
130104;0600;1;
130104;0700;0,9;
130104;0800;0,799999;
130104;0900;3,2;
130104;1000;3,7;
130104;1100;4,39999;
130104;1200;5,2;
130104;1300;4,89999;
130104;1400;4,8;
130104;1500;4,39999;
130104;1600;4,3;
130104;1700;4;
130104;1800;3,9;
130104;1900;3;
130104;2000;2;
130104;2100;1,1;
130104;2200;0,799999;
130104;2300;0,2;
130105;0000;1,5;
130105;0100;1,3;
130105;0200;1,3;
130105;0300;1,3;
130105;0400;1,5;
130105;0500;1,6;
130105;0600;1,3;
130105;0700;0,3;
130105;0800;0,5;
130105;0900;2,7;
130105;1000;3,3;
130105;1100;4,3;
130105;1200;4,5;
130105;1300;4,8;
130105;1400;5;
130105;1500;4,89999;
130105;1600;4,8;
130105;1700;4,39999;
130105;1800;4,3;
130105;1900;3,1;
130105;2000;1,4;
130105;2100;1,3;
130105;2200;1,7;
130105;2300;0,3;
130106;0000;0,9;
130106;0100;1,3;
130106;0200;1,6;
130106;0300;1,5;
130106;0400;0,4;
130106;0500;1,3;
130106;0600;1,2;
130106;0700;0,7;
130106;0800;0,7;
130106;0900;1,7;
130106;1000;3,3;
130106;1100;3,5;
130106;1200;4;
130106;1300;4,3;
130106;1400;5,1;
130106;1500;5,7;
130106;1600;5;
130106;1700;4,6;
130106;1800;3,5;
130106;1900;3,2;
130106;2000;1;
130106;2100;1,2;
130106;2200;0,7;
130106;2300;1,2;
130107;0000;1,3;
130107;0100;0,3;
130107;0200;0,5;
130107;0300;1,5;
130107;0400;0,799999;
130107;0500;1;
130107;0600;1,2;
130107;0700;0,2;
130107;0800;1,6;
130107;0900;2,9;
130107;1000;3,6;
130107;1100;4,7;
130107;1200;4,5;
130107;1300;5,7;
130107;1400;5;
130107;1500;4,3;
130107;1600;4,3;
130107;1700;4,1;
130107;1800;3,4;
130107;1900;2,4;
130107;2000;1,7;
130107;2100;2;
130107;2200;1,7;
130107;2300;2,5;
130108;0000;2,1;
130108;0100;1,1;
130108;0200;1,6;
130108;0300;1,2;
130108;0400;0,9;
130108;0500;1,3;
130108;0600;0,599999;
130108;0700;1,9;
130108;0800;2;
130108;0900;1,9;
130108;1000;2,1;
130108;1100;4,6;
130108;1200;4,3;
130108;1300;5,2;
130108;1400;5,2;
130108;1500;5,39999;
130108;1600;4,2;
130108;1700;3,2;
130108;1800;1,2;
130108;1900;1,8;
130108;2000;1,4;
130108;2100;1,5;
130108;2200;1,2;
130108;2300;1,4;
130109;0000;2,2;
130109;0100;2,7;
130109;0200;3,4;
130109;0300;3;
130109;0400;2,4;
130109;0500;1,5;
130109;0600;1,9;
130109;0700;3;
130109;0800;3,1;
130109;0900;3;
130109;1000;3;
130109;1100;3,1;
130109;1200;3,2;
130109;1300;3,6;
130109;1400;4,5;
130109;1500;;
130109;1600;;
130109;1700;;
130109;1800;;
130109;1900;;
130109;2000;;
130109;2100;;
130109;2200;;
130109;2300;;
130110;0000;;
130110;0100;;
130110;0200;;
130110;0300;;
130110;0400;;
130110;0500;;
130110;0600;;
130110;0700;;
130110;0800;;
130110;0900;;
130110;1000;;
130110;1100;;
130110;1200;;
130110;1300;;
130110;1400;;
130110;1500;;
130110;1600;;
130110;1700;;
130110;1800;;
130110;1900;;
130110;2000;;
130110;2100;;
130110;2200;;
130110;2300;;
130111;0000;0,599999;
130111;0100;0,7;
130111;0200;1,2;
130111;0300;1,3;
130111;0400;1,1;
130111;0500;0,599999;
130111;0600;0,799999;
130111;0700;1,8;
130111;0800;1,9;
130111;0900;2;
130111;1000;2;
130111;1100;2,1;
130111;1200;3,6;
130111;1300;3,9;
130111;1400;3,8;
130111;1500;4,39999;
130111;1600;3,9;
130111;1700;3,9;
130111;1800;3,4;
130111;1900;2,9;
130111;2000;2,4;
130111;2100;2,1;
130111;2200;1,6;
130111;2300;1,3;
130112;0000;1,5;
130112;0100;1;
130112;0200;1;
130112;0300;1,3;
130112;0400;1,6;
130112;0500;1,4;
130112;0600;1,9;
130112;0700;1,8;
130112;0800;1,9;
130112;0900;1,9;
130112;1000;2,4;
130112;1100;2,5;
130112;1200;2,4;
130112;1300;2,6;
130112;1400;2,4;
130112;1500;2,9;
130112;1600;3,1;
130112;1700;2,7;
130112;1800;1,8;
130112;1900;1,6;
130112;2000;1,4;
130112;2100;1,1;
130112;2200;1,2;
130112;2300;1;
130113;0000;0,599999;
130113;0100;0,9;
130113;0200;0,4;
130113;0300;0,9;
130113;0400;0,799999;
130113;0500;0,799999;
130113;0600;1,1;
130113;0700;0,9;
130113;0800;1;
130113;0900;1,6;
130113;1000;1,3;
130113;1100;2,7;
130113;1200;3,2;
130113;1300;3,8;
130113;1400;4,2;
130113;1500;3,9;
130113;1600;3,7;
130113;1700;3,6;
130113;1800;2,6;
130113;1900;1,9;
130113;2000;1,6;
130113;2100;0,7;
130113;2200;1,3;
130113;2300;1,2;
130114;0000;1,7;
130114;0100;1,8;
130114;0200;1,5;
130114;0300;1,5;
130114;0400;1,4;
130114;0500;0,799999;
130114;0600;0,5;
130114;0700;0,799999;
130114;0800;1,2;
130114;0900;1,7;
130114;1000;2,7;
