,SO2,NO2,NO,NOX,O3,CO
2017-09-06 18:00:00,3.22,2.16,2.01888,4.18258,21.0,0.22
2017-09-06 19:00:00,3.58,3.25,2.20725,5.46078,18.0,0.25
2017-09-06 20:00:00,7.39,13.01,2.41338,15.4239,9.0,0.29
2017-09-06 21:00:00,6.4,12.33,2.38637,14.72,10.0,0.28
2017-09-06 22:00:00,4.77,7.22,2.31295,9.535,13.0,0.27
2017-09-06 23:00:00,4.51,5.38,2.22338,7.59863,13.0,0.27
2017-09-07 00:00:00,3.77,4.28,2.6228,6.90333,7.0,0.27
2017-09-07 01:00:00,4.86,5.26,2.50562,7.76065,7.0,0.26
2017-09-07 02:00:00,4.22,4.3,2.55322,6.8581,7.0,0.26
2017-09-07 03:00:00,3.82,3.84,2.44933,6.29208,8.0,0.25
2017-09-07 04:00:00,3.75,3.85,3.0264,6.87458,6.0,0.26
2017-09-07 05:00:00,3.67,3.65,2.86582,6.51957,6.0,0.26
2017-09-07 06:00:00,3.36,3.03,3.1737,6.2016,6.0,0.25
2017-09-07 07:00:00,3.73,3.75,4.45173,8.20572,6.0,0.27
2017-09-07 08:00:00,4.27,4.42,6.07045,10.4883,6.0,0.31
2017-09-07 09:00:00,6.33,5.44,4.85708,10.2978,10.0,0.32
2017-09-07 10:00:00,5.87,3.47,3.49855,6.96554,16.0,0.3
2017-09-07 11:00:00,5.13,2.83,3.09307,5.91907,20.0,0.29
2017-09-07 12:00:00,17.84,4.41,2.74193,7.1546,22.0,0.26
2017-09-07 13:00:00,36.98,5.45,3.04243,8.49483,22.0,0.27
2017-09-07 14:00:00,6.77,5.12,2.8247,7.94123,26.0,0.27
2017-09-07 15:00:00,4.27,2.65,2.18332,4.83368,30.0,0.27
2017-09-07 16:00:00,3.44,1.59,2.00783,3.59988,34.0,0.28
2017-09-07 17:00:00,3.1,1.08,2.09597,3.17267,32.0,0.26
2017-09-07 18:00:00,3.01,0.72,2.0736,2.79198,30.0,0.24
2017-09-07 19:00:00,3.06,1.18,1.966,3.14477,28.0,0.24
2017-09-07 20:00:00,2.92,0.89,2.04083,2.92885,28.0,0.24
2017-09-07 21:00:00,2.95,2.21,2.12475,4.3384,25.0,0.24
2017-09-07 22:00:00,3.07,1.42,2.12598,3.54495,23.0,0.26
2017-09-07 23:00:00,3.03,1.95,2.22382,4.17743,19.0,0.26
2017-09-08 00:00:00,3.14,2.01,1.8828,3.89182,19.0,0.26
