,date,SO2,NO2,NO,NOX,O3,CO,MP10,MP25
222,2017-09-16 00:00:00,3.77,4.94,3.15352,8.09377,9.0,0.35,35.0,12.0
223,2017-09-16 01:00:00,3.93,4.45,2.75355,7.2079,8.0,0.36,28.0,7.0
224,2017-09-16 02:00:00,4.68,6.45,2.78913,9.2413,8.0,0.37,26.0,5.0
225,2017-09-16 03:00:00,5.0,6.57,4.20207,10.772,5.0,0.35,23.0,6.0
226,2017-09-16 04:00:00,6.15,7.92,3.87588,11.7927,6.0,0.35,25.0,8.0
227,2017-09-16 05:00:00,8.23,8.84,3.66385,12.5058,6.0,0.35,29.0,10.0
228,2017-09-16 06:00:00,7.25,9.05,3.62518,12.6768,7.0,0.35,22.0,12.0
229,2017-09-16 07:00:00,9.2,8.84,5.74493,14.5872,7.0,0.38,27.0,10.0
230,2017-09-16 08:00:00,6.76,4.46,8.38251,12.8455,8.0,0.43,41.0,11.0
231,2017-09-16 09:00:00,8.14,6.3,6.30218,12.6022,13.0,0.41,46.0,21.0
232,2017-09-16 10:00:00,178.17,12.02,18.1556,30.1795,12.0,0.43,54.0,40.0
233,2017-09-16 11:00:00,240.53,18.7,38.5277,57.2249,10.0,0.47,120.0,60.0
234,2017-09-16 12:00:00,15.2,12.5,14.0922,26.5927,17.0,0.42,89.0,68.0
235,2017-09-16 13:00:00,7.98,7.36,4.7419,12.0985,26.0,0.4,49.0,42.0
236,2017-09-16 14:00:00,7.75,6.11,4.54415,10.3282,30.0,0.4,48.0,29.0
237,2017-09-16 15:00:00,4.19,3.31,2.97618,6.28695,35.0,0.38,41.0,26.0
238,2017-09-16 16:00:00,3.76,3.12,2.80105,5.9182,37.0,0.37,40.0,27.0
239,2017-09-16 17:00:00,3.84,2.72,2.61297,5.33257,36.0,0.36,39.0,27.0
240,2017-09-16 18:00:00,3.73,2.89,2.49925,5.38482,34.0,0.36,40.0,23.0
241,2017-09-16 19:00:00,3.74,3.02,2.61563,5.63093,32.0,0.38,31.0,13.0
242,2017-09-16 20:00:00,3.35,2.84,2.74678,5.58535,29.0,0.38,31.0,8.0
243,2017-09-16 21:00:00,3.45,3.04,2.82753,5.86965,23.0,0.39,24.0,4.0
244,2017-09-16 22:00:00,3.29,3.98,2.8018,6.77867,16.0,0.4,26.0,2.0
245,2017-09-16 23:00:00,3.07,3.67,3.2472,6.91328,11.0,0.41,27.0,2.0
630,2017-10-03 00:00:00,0.62,6.11,53.6482,59.7568,11.0,0.55,19.0,3.0
631,2017-10-03 01:00:00,0.6,5.92,54.6023,60.519,8.0,0.54,15.0,7.0
632,2017-10-03 02:00:00,0.58,5.96,55.6697,61.634,8.0,0.53,10.0,3.0
633,2017-10-03 03:00:00,0.49,5.67,56.4127,62.0802,6.0,0.53,10.0,1.0
634,2017-10-03 04:00:00,0.52,6.12,57.2102,63.3338,5.0,0.53,8.0,1.0
635,2017-10-03 05:00:00,0.65,6.21,57.996,64.2058,5.0,0.54,9.0,1.0
636,2017-10-03 06:00:00,0.62,6.3,58.24,64.5397,6.0,0.53,10.0,2.0
637,2017-10-03 07:00:00,0.84,6.1,60.918,67.0167,6.0,0.59,11.0,4.0
638,2017-10-03 08:00:00,4.46,7.19,65.4772,72.6718,7.0,0.61,18.0,11.0
639,2017-10-03 09:00:00,,,,,5.0,0.66,43.0,26.0
640,2017-10-03 10:00:00,43.56,,,,6.0,0.61,44.0,36.0
641,2017-10-03 11:00:00,131.74,,,,,0.59,85.0,50.0
642,2017-10-03 12:00:00,184.34,19.07,42.6253,61.6978,,,88.0,59.0
643,2017-10-03 13:00:00,6.74,8.17,4.16413,12.3308,16.0,,51.0,56.0
644,2017-10-03 14:00:00,1.32,5.13,1.65612,6.78415,23.0,0.38,20.0,33.0
645,2017-10-03 15:00:00,1.14,4.45,1.85407,6.3082,24.0,0.38,17.0,14.0
646,2017-10-03 16:00:00,1.69,4.97,4.08528,9.05977,23.0,0.43,19.0,9.0
647,2017-10-03 17:00:00,12.0,10.56,12.5332,23.0913,9.0,0.53,42.0,2.0
648,2017-10-03 18:00:00,39.67,8.13,11.3725,19.5065,13.0,0.53,44.0,1.0
649,2017-10-03 19:00:00,1.34,3.68,9.99467,13.6763,17.0,0.53,22.0,3.0
