,date,SO2,NO2,NO,NOX,O3,CO,MP10,MP25
6,2017-09-07 00:00:00,3.79,3.33,1.61448,4.86682,18.0,0.31,53.0,17.0
7,2017-09-07 01:00:00,3.54,3.19,1.5531,4.67246,19.0,0.28,53.0,17.0
8,2017-09-07 02:00:00,14.71,5.5,15.412,20.5829,6.0,0.28,46.0,15.0
9,2017-09-07 03:00:00,40.98,5.98,9.56618,15.2992,5.0,0.28,42.0,18.0
10,2017-09-07 04:00:00,24.52,6.03,10.8264,16.5868,4.0,0.28,43.0,21.0
11,2017-09-07 05:00:00,20.43,7.39,32.3346,39.0964,4.0,0.27,43.0,21.0
12,2017-09-07 06:00:00,88.92,6.1,29.4193,34.8245,5.0,0.28,42.0,21.0
13,2017-09-07 07:00:00,146.27,7.13,28.4757,34.6858,6.0,0.32,48.0,28.0
14,2017-09-07 08:00:00,123.63,8.26,31.5722,39.0397,6.0,0.33,56.0,31.0
15,2017-09-07 09:00:00,62.05,7.38,23.9215,30.8077,8.0,0.32,61.0,31.0
16,2017-09-07 10:00:00,32.4,4.79,17.5593,21.994,11.0,0.29,50.0,26.0
17,2017-09-07 11:00:00,4.28,2.99,2.99592,5.89241,18.0,0.3,28.0,19.0
18,2017-09-07 12:00:00,4.05,3.17,2.5423,5.62152,20.0,0.35,24.0,18.0
19,2017-09-07 13:00:00,4.07,3.25,2.43275,5.59707,22.0,0.31,27.0,19.0
20,2017-09-07 14:00:00,3.87,3.1,2.31765,5.33571,26.0,0.29,28.0,18.0
21,2017-09-07 15:00:00,3.86,3.24,2.55941,5.71016,29.0,0.3,27.0,15.0
22,2017-09-07 16:00:00,2.82,3.02,1.92427,4.86514,33.0,0.29,25.0,13.0
23,2017-09-07 17:00:00,2.72,3.01,2.08224,5.00864,29.0,0.23,23.0,11.0
24,2017-09-07 18:00:00,2.61,2.86,2.08518,4.8716,28.0,0.23,23.0,9.0
25,2017-09-07 19:00:00,2.59,2.76,1.80693,4.49384,27.0,0.21,23.0,6.0
